,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58045.457709,-20.879,0.8079999999999999,-16,13,o,0,1.16,38.58655,23.7766,10297.72,6435.95,3.44,2.76,-87.5,-0.435,19.4,21.09,01a58045o0543o
1,58045.45936,21.42,1.255,10,12,o,0,1.39,38.58655,23.7766,9500.33,3767.93,3.34,2.86,-84.5,-0.433,19.41,20.95,01a58045o0546o
2,58045.468214,-21.522,1.784,-9,16,o,0,0.83,38.58655,23.7766,10337.84,6516.5,3.64,3.06,-84.7,-0.419,19.26,20.97,01a58045o0563o
3,58045.46959400001,-20.239,0.447,-29,13,o,0,1.14,38.58655,23.7766,609.0,6611.21,3.22,2.8,-87.1,-0.42100000000000004,19.29,20.94,01a58045o0566o
4,58045.470988,21.961,2.545,6,15,o,0,1.1,38.58655,23.7766,10265.99,6451.62,3.82,3.23,-85.4,-0.415,19.19,20.95,01a58045o0569o
5,58045.486422,-20.548000000000002,0.521,-22,11,o,0,1.49,38.58655,23.7766,10254.07,6629.32,3.64,2.88,-86.3,-0.419,19.32,20.94,01a58045o0600o
6,58045.48688,-19.99,0.32899999999999996,-37,12,o,0,0.99,38.58655,23.7766,557.83,6601.55,3.09,2.58,-88.1,-0.44299999999999995,19.36,20.96,01a58045o0601o
7,58045.491123,-19.855999999999998,0.262,-41,11,o,0,1.53,38.58655,23.7766,540.6,6734.77,3.01,2.53,-89.6,-0.446,19.39,21.03,01a58045o0610o
8,58049.475863,-19.509,0.258,-57,15,o,0,0.96,38.58655,23.7766,2155.88,9369.07,3.23,2.66,-87.8,-0.45299999999999996,19.24,20.69,01a58049o0336o
9,58049.486747,-20.128,0.5,-32,16,o,0,0.86,38.58655,23.7766,2176.62,9453.86,3.27,2.8,-82.5,-0.44299999999999995,19.22,20.69,01a58049o0356o
10,58049.489524000004,-20.072,0.45299999999999996,-34,15,o,0,1.03,38.58655,23.7766,2124.51,9387.04,3.17,2.69,-83.1,-0.452,19.22,20.65,01a58049o0362o
11,58049.506183000005,-20.118,0.485,-33,16,o,0,1.09,38.58655,23.7766,2113.1,9571.62,3.14,2.7,-85.2,-0.457,19.11,20.48,01a58049o0393o
12,58053.460642,-20.521,0.637,-22,14,o,0,0.91,38.58655,23.7766,1824.92,7941.75,3.05,2.66,-85.6,-0.455,19.29,20.81,01a58053o0484o
13,58053.469134000006,-20.924,0.8640000000000001,-16,13,o,0,1.28,38.58655,23.7766,1773.22,7936.75,2.99,2.64,-87.8,-0.457,19.3,20.77,01a58053o0501o
14,58053.47079500001,-21.357,1.121,-10,12,o,0,1.46,38.58655,23.7766,1844.67,8021.91,3.01,2.66,-83.1,-0.45799999999999996,19.25,20.76,01a58053o0504o
15,58053.474162,-20.554000000000002,0.672,-22,15,o,0,1.03,38.58655,23.7766,1756.05,8074.08,3.03,2.72,-85.6,-0.455,19.22,20.62,01a58053o0511o
16,58055.443651999994,-20.925,0.882,-16,14,o,0,1.07,38.58655,23.7766,1318.95,1036.93,1.84,1.68,58.4,-0.594,19.54,20.4,02a58055o0526o
17,58055.452999,-22.174,2.1069999999999998,-5,10,o,0,1.1,38.58655,23.7766,1298.36,996.44,1.97,1.77,50.9,-0.55,19.53,20.41,02a58055o0545o
18,58055.455880999994,-20.916,0.604,-16,9,o,0,1.93,38.58655,23.7766,1352.83,1075.46,1.85,1.71,57.0,-0.461,19.52,20.44,02a58055o0550o
19,58055.472282,-20.442,0.456,-24,11,o,0,1.13,38.58655,23.7766,1375.06,958.76,1.91,1.71,64.2,-0.589,19.64,20.84,02a58055o0582o
20,58057.459924,-19.38,0.47600000000000003,-64,31,o,0,1.36,38.58655,23.7766,10493.91,7218.48,3.55,2.91,-89.6,-0.415,18.58,19.88,01a58057o0178o
21,58057.461609000005,-20.227,0.9690000000000001,-29,28,o,0,0.78,38.58655,23.7766,775.2,7321.07,3.01,2.58,88.6,-0.441,18.75,19.68,01a58057o0181o
22,58057.470088,-19.649,0.604,-50,30,o,0,1.29,38.58655,23.7766,10518.1,7299.01,3.67,2.82,-86.2,-0.401,18.75,19.71,01a58057o0198o
