,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58057.429773,-22.205,9.379,-5,45,o,0,1.16,31.24888,-41.86874,9658.7,3425.26,2.27,2.21,85.0,-0.48100000000000004,18.2,18.5,02a58057o0148o
1,58057.431599,-19.903,1.079,-40,43,o,0,1.08,31.24888,-41.86874,9715.61,3520.58,2.2,2.15,71.2,-0.47,18.14,18.38,02a58057o0152o
2,58057.43296599999,19.75,0.847,46,39,o,0,1.0,31.24888,-41.86874,369.94,3333.42,2.21,1.94,32.9,-0.52,18.18,18.25,02a58057o0155o
3,58057.439727,21.237,3.215,12,37,o,0,1.08,31.24888,-41.86874,9727.0,3402.13,2.24,2.12,29.5,-0.48,18.38,18.71,02a58057o0169o
4,58059.399748,-20.709,3.983,-19,75,o,0,1.17,31.24888,-41.86874,9108.28,9127.15,4.32,3.36,-81.3,-0.37799999999999995,17.96,18.72,01a58059o0386o
5,58059.407083000006,-19.458,1.2409999999999999,-60,74,o,0,1.32,31.24888,-41.86874,9068.6,9117.08,4.58,3.57,-78.5,-0.359,17.93,18.7,01a58059o0402o
6,58059.40891599999,-20.404,3.0,-25,75,o,0,1.26,31.24888,-41.86874,9129.88,9204.45,4.3,3.24,-79.6,-0.37799999999999995,18.03,18.7,01a58059o0406o
7,58059.415323,-20.543000000000003,2.412,-22,53,o,0,0.94,31.24888,-41.86874,9061.86,9266.83,4.45,3.33,-81.8,-0.365,17.94,18.7,01a58059o0420o
8,58063.396525,-20.846999999999998,2.8680000000000003,-17,48,o,0,1.22,31.24888,-41.86874,6950.34,8229.48,4.04,3.49,-79.6,-0.40299999999999997,18.23,19.27,01a58063o0471o
9,58063.40435800001,-19.657,1.097,-50,55,o,0,0.95,31.24888,-41.86874,6971.28,8299.52,4.21,3.72,-82.6,-0.384,18.22,19.27,01a58063o0488o
10,58063.414002,-19.521,0.8059999999999999,-56,46,o,0,1.32,31.24888,-41.86874,6919.31,8260.18,3.85,3.42,-79.8,-0.409,18.3,19.27,01a58063o0509o
11,58063.420872,-19.778,1.094,-45,49,o,0,1.15,31.24888,-41.86874,6909.49,8403.3,4.07,3.51,-77.4,-0.40399999999999997,18.23,19.25,01a58063o0524o
12,58065.391257,-19.21,0.43200000000000005,-75,32,o,0,1.18,31.24888,-41.86874,1846.47,2845.05,2.48,2.21,55.2,-0.45,18.3,19.41,02a58065o0460o
13,58065.399084000004,-19.317,0.445,-68,30,o,0,1.09,31.24888,-41.86874,1833.61,2808.6,2.44,2.2,53.9,-0.45299999999999996,18.51,19.29,02a58065o0477o
14,58065.411059000005,21.813000000000002,4.319,7,30,o,0,0.94,31.24888,-41.86874,1894.39,2886.02,2.28,2.09,42.1,-0.47200000000000003,18.64,19.34,02a58065o0503o
15,58065.412426,19.647000000000002,0.657,50,33,o,0,1.06,31.24888,-41.86874,1908.86,2769.47,2.34,2.13,46.0,-0.47,18.62,19.23,02a58065o0506o
16,58067.386087,-20.118,0.825,-33,27,o,0,1.22,31.24888,-41.86874,10307.9,7643.46,4.15,2.92,-83.4,-0.384,18.52,19.91,01a58067o0439o
17,58067.393924,-19.539,0.741,-56,41,o,0,1.73,31.24888,-41.86874,10328.57,7714.4,4.2,3.02,-83.3,-0.371,18.05,19.44,01a58067o0456o
18,58067.397132000006,-18.535999999999998,0.44,-140,62,o,0,1.02,31.24888,-41.86874,935.06,7723.03,3.68,3.04,-88.4,-0.395,17.79,19.2,01a58067o0463o
19,58067.400352,-18.534000000000002,0.474,-140,66,o,0,1.05,31.24888,-41.86874,10273.37,7660.74,4.17,3.01,-83.8,-0.369,17.57,18.9,01a58067o0470o
20,58067.409513,-20.197,2.25,-30,68,o,0,1.09,31.24888,-41.86874,958.56,7810.78,3.49,2.82,-88.6,-0.39799999999999996,17.22,18.55,01a58067o0490o
21,58067.411347,-18.393,0.45,-160,72,o,0,1.25,31.24888,-41.86874,901.05,7743.06,3.49,2.87,-86.3,-0.4,17.48,18.76,01a58067o0494o
22,58067.413177999995,-18.961,0.7709999999999999,-94,73,o,0,1.01,31.24888,-41.86874,10265.35,7829.35,4.1,2.89,-83.9,-0.371,17.65,18.87,01a58067o0498o
23,58067.417755999995,-18.208,0.368,-189,70,o,0,1.03,31.24888,-41.86874,890.47,7885.05,3.49,2.94,-86.7,-0.39799999999999996,17.63,18.91,01a58067o0508o
24,58071.371678999996,-19.617,0.46399999999999997,-52,24,o,0,1.14,31.24888,-41.86874,10449.48,10080.5,4.92,3.39,-81.8,-0.375,18.95,20.45,01a58071o0327o
25,58071.379504,21.936,4.2669999999999995,6,26,o,0,1.07,31.24888,-41.86874,10470.75,10152.47,5.13,3.59,-81.3,-0.345,18.92,20.49,01a58071o0344o
26,58071.384554,-19.654,0.418,-50,21,o,0,1.15,31.24888,-41.86874,1036.57,10175.45,4.1,3.41,-86.0,-0.39399999999999996,18.94,20.51,01a58071o0355o
27,58071.38731699999,-19.090999999999998,0.252,-84,21,o,0,1.67,31.24888,-41.86874,10415.43,10102.61,4.98,3.5,-79.9,-0.373,18.89,20.49,01a58071o0361o
28,58071.392382000005,-19.34,0.324,-67,22,o,0,1.34,31.24888,-41.86874,10405.78,10240.33,4.74,3.34,-80.9,-0.38,18.94,20.48,01a58071o0372o
29,58071.39604199999,-19.433,0.32799999999999996,-61,20,o,0,1.3,31.24888,-41.86874,1060.07,10260.33,4.23,3.58,87.6,-0.375,18.95,20.54,01a58071o0380o
30,58071.403828999995,-18.901,0.252,-100,25,o,0,0.8,31.24888,-41.86874,1006.97,10215.92,4.29,3.62,-86.4,-0.39799999999999996,18.91,20.53,01a58071o0397o
31,58071.405659000004,19.877,0.515,41,21,o,0,1.27,31.24888,-41.86874,993.04,10342.67,4.0,3.4,-84.5,-0.41,18.96,20.53,01a58071o0401o
32,58075.372725,-19.625,0.32299999999999995,-51,17,o,0,1.44,31.24888,-41.86874,9121.36,10102.08,4.4,3.4,-78.0,-0.364,19.12,20.84,01a58075o0421o
33,58075.38054500001,-19.605,0.39399999999999996,-52,21,o,0,0.96,31.24888,-41.86874,9155.88,10174.76,4.54,3.78,-74.7,-0.349,19.0,20.78,01a58075o0438o
34,58075.38836900001,-20.585,0.903,-21,19,o,0,1.19,31.24888,-41.86874,9100.68,10126.09,4.42,3.58,-78.0,-0.358,19.01,20.75,01a58075o0455o
35,58075.39619199999,-19.406,0.29600000000000004,-63,19,o,0,1.4,31.24888,-41.86874,9090.87,10275.72,4.58,3.98,-71.8,-0.33899999999999997,18.93,20.81,01a58075o0472o
36,58079.356801,-19.173,0.243,-78,19,o,0,1.37,31.24888,-41.86874,9748.94,9220.33,4.67,3.51,-83.2,-0.35600000000000004,18.97,20.73,01a58079o0385o
37,58079.363226,-20.572,0.9840000000000001,-21,21,o,0,1.19,31.24888,-41.86874,349.61,9351.77,4.26,3.52,86.6,-0.382,18.97,20.7,01a58079o0399o
38,58079.365526,-19.017,0.215,-90,19,o,0,1.24,31.24888,-41.86874,9710.82,9214.93,4.73,3.55,-84.4,-0.35700000000000004,18.86,20.67,01a58079o0404o
39,58079.367815,-21.627,2.458,-8,20,o,0,1.03,31.24888,-41.86874,9772.32,9305.04,4.57,3.4,-82.0,-0.368,18.98,20.65,01a58079o0409o
40,58079.374686,-19.548,0.413,-55,23,o,0,0.79,31.24888,-41.86874,373.87,9436.68,3.98,3.26,-86.7,-0.39899999999999997,19.02,20.68,01a58079o0424o
41,58079.378347000005,-22.358,4.833,-4,20,o,0,1.17,31.24888,-41.86874,9704.88,9384.93,4.65,3.44,-83.7,-0.35600000000000004,18.97,20.63,01a58079o0432o
42,58079.384759,-20.063,0.644,-34,22,o,0,0.99,31.24888,-41.86874,321.48,9401.9,4.21,3.48,-85.3,-0.387,18.97,20.68,01a58079o0446o
43,58079.390259,-19.861,0.5579999999999999,-41,23,o,0,1.03,31.24888,-41.86874,309.04,9542.86,4.15,3.44,-85.2,-0.384,18.92,20.55,01a58079o0458o
44,58081.332786,20.479,0.679,23,16,c,0,1.16,31.24888,-41.86874,558.12,1232.9,3.67,3.15,49.9,-0.465,19.35,21.02,02a58081o0137c
45,58081.339629999995,20.095,0.41700000000000004,33,14,c,0,1.42,31.24888,-41.86874,529.91,1192.77,3.74,3.13,51.4,-0.46299999999999997,19.4,21.12,02a58081o0152c
46,58081.34692999999,-20.434,0.581,-24,14,c,0,1.52,31.24888,-41.86874,618.68,1156.14,3.67,3.09,51.3,-0.466,19.41,21.18,02a58081o0168c
47,58081.348298000004,-19.457,0.204,-60,12,c,0,2.07,31.24888,-41.86874,590.47,1272.48,3.75,3.19,54.0,-0.445,19.43,21.19,02a58081o0171c
48,58081.350124000004,-21.206999999999997,1.149,-12,14,c,0,1.17,31.24888,-41.86874,9935.05,1283.39,3.5,3.0,63.5,-0.442,19.44,21.21,02a58081o0175c
49,58081.359152,19.553,0.251,55,14,c,0,1.45,31.24888,-41.86874,530.78,9206.02,3.49,3.02,48.2,-0.392,19.43,21.27,02a58081o0194c
50,58081.360789,22.656999999999996,4.417,3,14,c,0,1.34,31.24888,-41.86874,473.17,9128.46,3.7,3.06,50.9,-0.396,19.39,21.26,02a58081o0197c
51,58081.364628999996,21.096,1.163,13,15,c,0,0.96,31.24888,-41.86874,9997.09,1198.66,3.56,3.14,67.4,-0.43200000000000005,19.43,21.23,02a58081o0205c
52,58091.318876,-19.250999999999998,1.093,-72,79,o,0,1.2,31.24888,-41.86874,7370.82,8581.83,4.36,3.5,-80.2,-0.39399999999999996,17.96,18.89,01a58091o0272o
53,58091.325757000006,-20.285999999999998,3.338,-28,93,o,0,1.13,31.24888,-41.86874,7391.87,8648.51,4.62,3.77,-78.4,-0.38299999999999995,17.92,18.88,01a58091o0287o
54,58091.335149,21.203000000000003,8.036,12,96,o,0,1.03,31.24888,-41.86874,7325.47,8725.51,4.89,3.97,-77.3,-0.382,17.91,18.88,01a58091o0306o
55,58091.33697999999,-20.863000000000003,5.489,-16,90,o,0,1.22,31.24888,-41.86874,7339.57,8616.68,4.51,3.68,-80.2,-0.38299999999999995,17.92,18.88,01a58091o0310o
56,58095.333441999996,-20.035999999999998,0.573,-35,20,o,0,1.16,31.24888,-41.86874,10420.86,9446.45,4.68,3.32,-85.7,-0.355,19.02,20.54,01a58095o0332o
57,58095.337564,-22.16,4.125,-5,20,o,0,1.22,31.24888,-41.86874,10438.04,9504.12,4.44,3.11,-83.5,-0.374,19.02,20.57,01a58095o0341o
58,58095.348098,20.659000000000002,1.0,20,20,o,0,1.16,31.24888,-41.86874,10380.16,9466.53,4.24,2.84,-80.7,-0.387,19.09,20.44,01a58095o0364o
59,58095.349474,-21.158,1.5,-12,19,o,0,1.4,31.24888,-41.86874,1040.2,9595.39,3.6,2.99,-85.0,-0.424,19.02,20.44,01a58095o0367o
60,58095.350847,-21.813000000000002,3.0,-7,20,o,0,1.09,31.24888,-41.86874,1026.38,9562.79,3.72,3.16,-86.1,-0.42,18.98,20.4,01a58095o0370o
61,58095.35817000001,-19.587,0.503,-53,27,o,0,1.17,31.24888,-41.86874,1000.36,9554.06,4.15,3.6,-85.1,-0.39,18.76,20.24,01a58095o0386o
62,58095.360002999994,-20.172,0.89,-31,28,o,0,0.95,31.24888,-41.86874,10370.16,9632.14,4.96,3.45,-85.1,-0.35,18.74,20.12,01a58095o0390o
63,58095.364127,20.749000000000002,1.386,18,25,o,0,1.18,31.24888,-41.86874,972.73,9678.46,4.11,3.41,-85.8,-0.39899999999999997,18.75,20.13,01a58095o0399o
64,58097.330412999996,20.035999999999998,0.433,35,15,o,0,1.53,31.24888,-41.86874,1778.93,1312.23,2.62,2.22,34.0,-0.49700000000000005,19.39,20.7,02a58097o0272o
65,58097.337299,20.166,0.522,31,16,o,0,1.42,31.24888,-41.86874,1766.65,1271.52,2.5,2.12,31.5,-0.48200000000000004,19.36,20.75,02a58097o0287o
66,58097.344215,-20.861,0.924,-16,15,o,0,1.73,31.24888,-41.86874,1827.6,1350.5,2.57,2.17,34.2,-0.47200000000000003,19.35,20.65,02a58097o0302o
67,58097.351093,19.753,0.242,46,11,o,0,2.96,31.24888,-41.86874,1844.28,1233.77,2.51,2.13,36.6,-0.47600000000000003,19.37,20.62,02a58097o0317o
68,58099.327013999995,-20.064,0.9640000000000001,-34,33,o,0,0.91,31.24888,-41.86874,8656.38,9762.44,4.86,3.93,-84.1,-0.359,18.52,19.98,01a58099o0317o
69,58099.333889999994,-24.186,38.5,-1,30,o,0,1.11,31.24888,-41.86874,8674.13,9830.36,4.61,3.79,-84.2,-0.35600000000000004,18.62,20.0,01a58099o0332o
70,58099.340795000004,21.804000000000002,3.842,7,26,o,0,1.11,31.24888,-41.86874,8632.11,9779.49,4.46,3.68,-81.8,-0.368,18.57,20.03,01a58099o0347o
71,58099.347667999995,20.076,0.815,34,28,o,0,1.32,31.24888,-41.86874,8604.07,9923.51,4.75,3.98,-84.6,-0.358,18.58,20.01,01a58099o0362o
72,58103.318936,18.637,0.196,127,25,o,0,1.23,31.24888,-41.86874,8531.39,8855.18,4.64,3.35,-81.1,-0.35,18.74,20.26,01a58103o0217o
73,58103.325817,18.783,0.201,111,22,o,0,1.39,31.24888,-41.86874,8563.43,8923.28,4.66,3.36,-82.7,-0.35,18.73,20.26,01a58103o0232o
74,58103.332718,21.180999999999997,1.9169999999999998,12,23,o,0,1.07,31.24888,-41.86874,8506.51,8871.95,4.57,3.42,-81.4,-0.34700000000000003,18.74,20.25,01a58103o0247o
75,58103.339592,20.934,1.3780000000000001,15,21,o,0,1.38,31.24888,-41.86874,8479.62,9015.5,4.64,3.38,-80.9,-0.35100000000000003,18.75,20.2,01a58103o0262o
76,58111.307394,18.839000000000002,0.22399999999999998,106,24,o,0,1.03,31.24888,-41.86874,1201.66,10226.17,4.12,3.52,-79.3,-0.406,18.87,20.36,01a58111o0265o
77,58111.314294,19.305,0.368,69,25,o,0,0.79,31.24888,-41.86874,1233.5,10292.64,4.2,3.57,-80.9,-0.40399999999999997,18.84,20.35,01a58111o0280o
78,58111.32575900001,18.489,0.172,146,25,o,0,1.1,31.24888,-41.86874,1177.1,10262.16,4.4,3.76,-82.0,-0.396,18.78,20.35,01a58111o0305o
79,58111.32713400001,18.475,0.165,148,24,o,0,1.07,31.24888,-41.86874,1147.59,10387.9,4.22,3.56,-83.6,-0.396,18.84,20.34,01a58111o0308o
