,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58055.338678,22.101,2.574,5,14,o,0,1.29,345.22632999999996,8.724160000000001,1115.05,1000.56,1.83,1.64,64.6,-0.5589999999999999,19.34,19.98,02a58055o0326o
1,58055.348142999996,-21.877,2.365,-6,15,o,0,1.03,345.22632999999996,8.724160000000001,1096.44,962.18,1.84,1.67,61.5,-0.578,19.31,19.95,02a58055o0344o
2,58055.357714,-21.223000000000003,1.2930000000000001,-12,15,o,0,0.97,345.22632999999996,8.724160000000001,1155.61,1039.92,1.87,1.69,59.0,-0.599,19.32,19.93,02a58055o0361o
3,58055.363518,-21.125999999999998,1.264,-13,16,o,0,0.83,345.22632999999996,8.724160000000001,1174.54,923.39,1.87,1.68,56.7,-0.613,19.28,19.9,02a58055o0369o
4,58056.301937000004,20.364,0.88,26,23,o,0,1.09,345.22632999999996,8.724160000000001,265.71,6068.31,3.41,2.64,87.1,-0.419,18.82,19.84,01a58056o0115o
5,58056.309776,20.845,1.286,17,21,o,0,1.44,345.22632999999996,8.724160000000001,288.98,6141.17,3.42,2.69,83.0,-0.409,18.77,19.82,01a58056o0130o
6,58056.31738200001,19.677,0.43799999999999994,49,21,o,0,1.04,345.22632999999996,8.724160000000001,233.06,6095.23,3.36,2.66,83.9,-0.418,18.8,19.8,01a58056o0145o
7,58056.324476,-20.041,0.713,-35,25,o,0,0.95,345.22632999999996,8.724160000000001,218.5,6241.36,3.42,2.74,83.7,-0.4,18.78,19.79,01a58056o0160o
8,58059.333672,-23.769000000000002,17.133,-1,19,o,0,1.05,345.22632999999996,8.724160000000001,265.68,3576.95,1.85,1.73,25.2,-0.485,18.8,18.92,02a58059o0173o
9,58059.342680999995,-24.004,21.583000000000002,-1,20,o,0,1.07,345.22632999999996,8.724160000000001,248.11,3536.77,1.85,1.71,34.7,-0.499,18.74,18.89,02a58059o0190o
10,58059.352088,20.655,1.198,20,24,o,0,0.71,345.22632999999996,8.724160000000001,307.42,3613.28,1.88,1.74,28.2,-0.467,18.75,18.86,02a58059o0207o
11,58059.361973,21.594,2.7960000000000003,8,23,o,0,1.29,345.22632999999996,8.724160000000001,326.75,3495.72,1.88,1.75,26.4,-0.517,18.63,18.67,02a58059o0224o
12,58061.326877,20.367,1.507,26,39,o,0,1.08,345.22632999999996,8.724160000000001,8669.05,7651.76,3.02,2.67,89.7,-0.446,18.56,19.27,01a58061o0300o
13,58061.34217,24.046999999999997,44.8,1,39,o,0,1.24,345.22632999999996,8.724160000000001,8639.9,7674.88,2.98,2.63,90.0,-0.46,18.54,19.19,01a58061o0333o
14,58061.343085,20.811,2.309,17,40,o,0,1.34,345.22632999999996,8.724160000000001,8698.68,7755.48,2.98,2.64,-87.6,-0.465,18.57,19.19,01a58061o0335o
15,58061.34656900001,19.759,1.0070000000000001,45,46,o,0,0.87,345.22632999999996,8.724160000000001,8623.39,7808.17,2.91,2.59,-89.3,-0.47200000000000003,18.59,19.17,01a58061o0341o
16,58062.315913,-20.164,0.59,-31,18,o,0,1.19,345.22632999999996,8.724160000000001,8054.56,1856.12,2.28,2.21,-82.7,-0.44299999999999995,18.94,19.37,02a58062o0214o
17,58062.32262100001,21.316,1.86,11,20,o,0,1.12,345.22632999999996,8.724160000000001,8036.71,1816.25,2.45,2.31,-80.3,-0.43799999999999994,18.92,19.38,02a58062o0228o
18,58062.329741999994,-21.76,2.656,-7,19,o,0,1.06,345.22632999999996,8.724160000000001,8093.57,1894.08,2.29,2.2,89.0,-0.444,18.88,19.34,02a58062o0243o
19,58062.336466999994,20.241,0.629,29,18,o,0,1.18,345.22632999999996,8.724160000000001,8114.09,1776.65,2.3,2.17,-71.5,-0.433,18.93,19.34,02a58062o0257o
20,58064.335532000005,20.947,1.179,15,18,o,0,0.98,345.22632999999996,8.724160000000001,289.59,6179.77,3.18,2.62,89.0,-0.428,18.98,20.09,01a58064o0310o
21,58064.343445000006,20.500999999999998,0.777,23,18,o,0,1.19,345.22632999999996,8.724160000000001,313.91,6248.36,3.15,2.57,86.8,-0.423,18.97,20.07,01a58064o0327o
22,58064.351817999996,21.340999999999998,1.885,11,20,o,0,0.96,345.22632999999996,8.724160000000001,260.63,6202.87,3.18,2.5,87.7,-0.428,18.99,20.03,01a58064o0344o
23,58064.360349,20.63,0.972,20,20,o,0,1.26,345.22632999999996,8.724160000000001,247.82,6352.04,3.35,2.61,88.3,-0.40399999999999997,18.94,19.97,01a58064o0361o
24,58066.304983,24.601999999999997,21.4,0,11,o,0,1.08,345.22632999999996,8.724160000000001,7867.73,916.31,2.21,2.09,52.3,-0.45899999999999996,19.54,20.53,02a58066o0242o
25,58066.313078,-21.557,1.357,-9,12,o,0,0.87,345.22632999999996,8.724160000000001,7851.06,877.29,2.2,2.04,55.6,-0.46,19.54,20.53,02a58066o0259o
26,58066.321736,-22.261999999999997,2.6439999999999997,-4,12,o,0,0.79,345.22632999999996,8.724160000000001,7909.13,954.69,2.19,2.01,50.0,-0.467,19.55,20.61,02a58066o0276o
27,58066.329749000004,22.879,3.96,3,10,o,0,1.64,345.22632999999996,8.724160000000001,7930.04,836.27,2.19,2.03,51.7,-0.47,19.57,20.6,02a58066o0293o
28,58070.298694000005,20.986,0.914,15,13,o,0,1.09,345.22632999999996,8.724160000000001,9858.31,3323.87,2.15,1.98,37.3,-0.486,19.59,20.62,02a58070o0230o
29,58070.305712,20.98,0.843,15,12,o,0,1.08,345.22632999999996,8.724160000000001,9840.08,3284.12,2.2,2.0,38.5,-0.46799999999999997,19.58,20.66,02a58070o0245o
30,58070.312841,20.72,0.6829999999999999,19,13,o,0,0.86,345.22632999999996,8.724160000000001,9899.78,3361.26,2.16,1.95,33.7,-0.485,19.6,20.62,02a58070o0260o
31,58070.319907000005,20.651,0.599,20,12,o,0,1.27,345.22632999999996,8.724160000000001,9921.64,3243.76,2.21,2.0,35.9,-0.47600000000000003,19.57,20.64,02a58070o0275o
32,58073.296721000006,23.237,7.75,2,14,o,0,1.02,345.22632999999996,8.724160000000001,10331.28,7015.48,3.95,2.73,-84.2,-0.414,19.35,21.03,01a58073o0251o
33,58073.305927999994,-22.625999999999998,4.5,-3,14,o,0,0.98,345.22632999999996,8.724160000000001,10356.43,7091.29,3.91,2.74,-83.7,-0.419,19.33,21.01,01a58073o0269o
34,58073.31512100001,-22.189,3.1,-5,15,o,0,1.04,345.22632999999996,8.724160000000001,10303.98,7050.45,4.03,2.79,-85.2,-0.41,19.32,20.99,01a58073o0286o
35,58073.32506,21.910999999999998,2.2,6,14,o,0,1.14,345.22632999999996,8.724160000000001,10291.61,7204.17,4.19,2.81,-83.6,-0.396,19.29,20.95,01a58073o0304o
36,58074.293938,-21.737,1.2890000000000001,-7,9,c,0,1.01,345.22632999999996,8.724160000000001,8318.6,1953.64,2.97,2.69,48.0,-0.42700000000000005,19.64,21.54,02a58074o0128c
37,58074.301921000006,-21.281,0.7909999999999999,-11,9,c,0,1.45,345.22632999999996,8.724160000000001,8300.82,1913.59,3.02,2.71,47.8,-0.42100000000000004,19.65,21.54,02a58074o0145c
38,58074.309991999995,-24.072,10.2,-1,9,c,0,1.38,345.22632999999996,8.724160000000001,8359.48,1990.89,3.06,2.75,45.0,-0.41700000000000004,19.65,21.55,02a58074o0162c
39,58074.318039,-20.379,0.371,-26,10,c,0,1.07,345.22632999999996,8.724160000000001,8381.51,1872.86,3.17,2.83,47.5,-0.419,19.62,21.55,02a58074o0179c
40,58077.291061,22.465,4.2,4,16,o,0,1.0,345.22632999999996,8.724160000000001,9941.13,8332.19,4.09,2.97,-84.6,-0.365,19.24,20.9,01a58077o0232o
41,58077.300162,21.320999999999998,1.465,11,16,o,0,0.98,345.22632999999996,8.724160000000001,9967.47,8407.73,4.09,2.92,-83.3,-0.373,19.25,20.92,01a58077o0250o
42,58077.309337,-23.938000000000002,14.25,-1,14,o,0,1.47,345.22632999999996,8.724160000000001,9914.53,8366.04,3.99,2.88,-84.6,-0.373,19.24,20.83,01a58077o0267o
43,58077.319184,-21.041999999999998,1.167,-14,16,o,0,0.95,345.22632999999996,8.724160000000001,9904.29,8520.79,3.97,2.76,-84.2,-0.382,19.27,20.84,01a58077o0285o
44,58078.285674,22.016,1.605,6,9,c,0,0.96,345.22632999999996,8.724160000000001,9073.4,2187.97,2.77,2.55,27.0,-0.45299999999999996,19.78,21.66,02a58078o0222c
45,58078.293964,-20.225,0.271,-30,8,c,0,1.46,345.22632999999996,8.724160000000001,9054.67,2150.16,2.7,2.5,48.2,-0.445,19.79,21.63,02a58078o0239c
46,58078.309988,-22.508000000000003,2.333,-4,8,c,0,1.42,345.22632999999996,8.724160000000001,9133.32,2110.21,2.74,2.6,39.1,-0.44,19.74,21.61,02a58078o0273c
47,58080.272086000004,22.703000000000003,4.125,3,12,o,0,1.13,345.22632999999996,8.724160000000001,2467.32,6652.01,3.25,2.59,-85.8,-0.461,19.33,20.88,01a58080o0182o
48,58080.280083000005,21.023000000000003,1.0859999999999999,14,15,o,0,0.88,345.22632999999996,8.724160000000001,2491.72,6722.39,3.38,2.71,-87.6,-0.452,19.27,20.79,01a58080o0199o
49,58080.288066999994,-20.823,0.795,-17,14,o,0,1.1,345.22632999999996,8.724160000000001,2439.13,6678.94,3.43,2.71,-89.9,-0.451,19.22,20.78,01a58080o0216o
50,58080.296084,21.842,2.147,7,14,o,0,1.14,345.22632999999996,8.724160000000001,2425.95,6826.57,3.29,2.65,-88.6,-0.45899999999999996,19.3,20.8,01a58080o0233o
51,58081.28634500001,-21.62,1.8330000000000002,-8,15,o,0,1.1,345.22632999999996,8.724160000000001,8529.31,7826.64,3.38,2.63,-84.2,-0.434,19.3,20.62,01a58081o0235o
52,58081.294887000004,20.641,0.75,20,15,o,0,1.27,345.22632999999996,8.724160000000001,8554.89,7899.36,3.44,2.81,-85.2,-0.426,19.19,20.66,01a58081o0252o
53,58081.303744000004,22.938000000000002,6.545,2,16,o,0,0.91,345.22632999999996,8.724160000000001,8502.24,7856.4,3.58,2.86,-83.2,-0.42100000000000004,19.19,20.62,01a58081o0269o
54,58081.312943,19.937,0.455,38,18,o,0,0.92,345.22632999999996,8.724160000000001,8491.5,8008.29,3.61,2.95,-84.2,-0.418,19.14,20.62,01a58081o0286o
55,58082.266278999996,-21.865,1.736,-6,11,c,0,1.27,345.22632999999996,8.724160000000001,7945.62,4474.14,2.48,2.4,79.5,-0.445,19.44,20.8,02a58082o0187c
56,58082.274793,21.623,1.483,8,12,c,0,1.24,345.22632999999996,8.724160000000001,7928.42,4435.79,2.62,2.5,61.9,-0.436,19.4,20.76,02a58082o0204c
57,58082.28335700001,-20.779,0.618,-18,11,c,0,1.2,345.22632999999996,8.724160000000001,7986.37,4512.45,2.55,2.45,62.0,-0.439,19.38,20.71,02a58082o0221c
58,58082.291282000006,21.214000000000002,0.9570000000000001,12,11,c,0,1.12,345.22632999999996,8.724160000000001,8006.01,4395.47,2.52,2.44,69.4,-0.439,19.42,20.73,02a58082o0238c
59,58092.25309,21.721999999999998,2.833,7,21,o,0,1.17,345.22632999999996,8.724160000000001,1782.01,7330.85,3.36,2.77,-86.4,-0.442,18.89,20.01,01a58092o0162o
60,58092.261021000006,-21.087,1.75,-13,23,o,0,0.82,345.22632999999996,8.724160000000001,1806.25,7399.47,3.4,2.81,-89.0,-0.439,18.82,19.89,01a58092o0179o
61,58092.268934,20.314,0.963,27,26,o,0,0.81,345.22632999999996,8.724160000000001,1753.47,7353.98,3.34,2.74,-87.8,-0.451,18.77,19.81,01a58092o0196o
62,58092.276852999996,19.621,0.581,52,30,o,0,0.93,345.22632999999996,8.724160000000001,1740.49,7501.36,3.45,2.9,-89.7,-0.43799999999999994,18.7,19.76,01a58092o0213o
63,58093.271228,25.275,85.0,0,24,o,0,0.81,345.22632999999996,8.724160000000001,9947.88,8873.78,4.22,3.22,-83.5,-0.361,18.84,20.19,01a58093o0194o
64,58093.27637000001,25.26,79.0,0,23,o,0,1.12,345.22632999999996,8.724160000000001,9970.26,8933.95,4.31,3.25,-84.8,-0.348,18.76,20.02,01a58093o0204o
65,58093.28245599999,20.304000000000002,0.757,27,21,o,0,1.17,345.22632999999996,8.724160000000001,9915.57,8878.96,4.05,2.9,-83.1,-0.381,18.86,20.05,01a58093o0216o
66,58093.290251,14.251,0.818,7238,5922,o,0,1.26,345.22632999999996,8.724160000000001,9903.54,9026.07,4.5,3.44,-81.6,-0.406,14.27,15.08,01a58093o0231o
67,58097.26235800001,20.054000000000002,0.484,34,17,o,0,1.13,345.22632999999996,8.724160000000001,9273.18,9202.28,4.12,3.24,-85.1,-0.396,19.18,20.98,01a58097o0182o
68,58097.267159,23.034000000000002,7.888999999999999,2,18,o,0,0.9,345.22632999999996,8.724160000000001,9295.62,9260.18,3.89,2.96,-84.8,-0.409,19.26,20.97,01a58097o0192o
