,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58048.596609,-21.291999999999998,2.171,-11,24,o,0,1.22,151.75342,-14.266210000000001,4824.16,8737.35,3.87,3.46,89.7,-0.406,18.64,20.08,01a58048o0857o
1,58048.602691,-20.614,0.937,-21,19,o,0,1.36,151.75342,-14.266210000000001,4835.13,8612.87,3.56,3.1,-85.3,-0.43,18.8,20.15,01a58048o0870o
2,58054.581815,-21.927,3.1310000000000002,-6,19,o,0,0.69,151.75342,-14.266210000000001,3392.19,4668.59,2.07,1.89,32.3,-0.467,19.12,19.91,02a58054o0813o
3,58054.588299,-19.689,0.273,-48,13,o,0,1.11,151.75342,-14.266210000000001,3413.25,4707.16,2.02,1.92,30.4,-0.465,19.22,20.01,02a58054o0827o
4,58054.596983,-20.148,0.446,-32,14,o,0,0.88,151.75342,-14.266210000000001,3356.74,4630.88,2.07,1.96,12.1,-0.46399999999999997,19.23,20.12,02a58054o0842o
5,58054.603497000004,-21.267,1.1640000000000001,-11,13,o,0,1.07,151.75342,-14.266210000000001,3338.4,4747.62,2.12,1.95,22.2,-0.47600000000000003,19.3,20.16,02a58054o0856o
6,58056.578664,-20.102,0.602,-33,20,o,0,1.41,151.75342,-14.266210000000001,6209.13,8546.46,3.52,2.98,-86.0,-0.423,18.8,20.06,01a58056o0680o
7,58064.573122,-19.379,0.741,-64,48,o,0,1.21,151.75342,-14.266210000000001,6128.52,8717.43,3.58,3.04,-81.8,-0.434,18.16,19.14,01a58064o0794o
8,58064.582386,-20.393,1.5119999999999998,-25,38,o,0,1.36,151.75342,-14.266210000000001,6109.26,8665.07,3.46,3.05,-84.2,-0.42700000000000005,17.96,19.05,01a58064o0811o
9,58064.58975,22.035,23.857,6,133,o,0,0.98,151.75342,-14.266210000000001,6158.46,8729.34,3.61,3.59,-33.5,-0.435,17.6,18.84,01a58064o0827o
10,58064.598828999995,-22.28,21.0,-4,93,o,0,1.09,151.75342,-14.266210000000001,6168.37,8594.23,3.59,3.18,-87.6,-0.44,17.96,19.15,01a58064o0843o
11,58066.58004,-21.473000000000003,1.889,-9,18,o,0,1.11,151.75342,-14.266210000000001,6420.55,5635.9,2.36,2.04,-6.9,-0.447,18.92,19.58,02a58066o0798o
12,58066.587942,-20.718000000000004,0.8440000000000001,-19,16,o,0,1.05,151.75342,-14.266210000000001,6437.62,5676.33,2.07,1.95,-23.7,-0.47100000000000003,19.04,19.65,02a58066o0815o
13,58066.59594500001,-20.805,1.124,-17,19,o,0,0.92,151.75342,-14.266210000000001,6374.3,5600.3,2.94,2.03,-2.2,-0.47100000000000003,18.9,19.72,02a58066o0832o
14,58066.605363999995,-21.215999999999998,1.319,-12,16,o,0,1.31,151.75342,-14.266210000000001,6356.51,5718.1,2.25,1.99,-12.9,-0.45,19.11,19.79,02a58066o0849o
