,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57716.313697000005,-17.496,0.087,-364,32,c,0,1.64,353.65196000000003,-4.53453,8567.16,1324.72,4.32,4.24,77.4,-0.373,18.88,20.76,02a57716o0260c
1,57716.32887899999,-17.998,0.183,-230,42,c,0,1.17,353.65196000000003,-4.53453,8551.16,1285.37,4.78,4.39,2.4,-0.365,18.4,20.28,02a57716o0289c
2,57716.343599,15.073,0.022000000000000002,3395,73,c,0,8.24,353.65196000000003,-4.53453,8611.97,1363.18,4.73,4.51,3.5,-0.35100000000000003,17.79,19.63,02a57716o0317c
3,57716.358235,-18.671,0.183,-124,23,c,0,2.14,353.65196000000003,-4.53453,8633.96,1244.54,4.68,4.57,10.4,-0.36,19.16,21.13,02a57716o0345c
4,57716.372973000005,22.08,3.667,5,20,c,0,1.81,353.65196000000003,-4.53453,8594.14,1303.17,4.41,4.27,10.2,-0.376,19.31,21.22,02a57716o0373c
5,57736.265695,-18.117,0.278,-206,57,o,0,1.49,353.65196000000003,-4.53453,2936.36,9399.34,3.42,3.06,7.7,-0.456,18.39,19.05,02a57736o0151o
6,57736.276,-17.58,0.196,-337,66,o,0,1.54,353.65196000000003,-4.53453,2920.51,9358.47,4.32,3.22,3.1,-0.42200000000000004,18.24,19.04,02a57736o0171o
7,57736.28700800001,-16.974,0.08800000000000001,-589,52,o,0,4.35,353.65196000000003,-4.53453,2979.62,9435.82,3.52,3.14,9.9,-0.451,18.33,18.98,02a57736o0192o
8,57736.29842000001,-16.782,0.094,-704,66,o,0,1.47,353.65196000000003,-4.53453,3001.33,9316.95,3.53,3.22,8.5,-0.435,18.3,18.92,02a57736o0214o
9,57736.312060000004,-17.006,0.115,-572,66,o,0,1.76,353.65196000000003,-4.53453,2962.37,9374.34,3.83,3.28,7.8,-0.423,18.19,18.84,02a57736o0240o
10,57743.220061,-17.581,0.08199999999999999,-337,28,o,0,3.82,353.65196000000003,-4.53453,1974.13,9737.64,3.42,3.0,10.5,-0.508,19.04,20.41,02a57743o0074o
11,57743.23185800001,-15.863,0.02,-1640,32,o,0,6.08,353.65196000000003,-4.53453,9462.69,51.27,3.76,3.57,61.1,-0.511,19.09,20.54,02a57743o0097o
12,57743.233377,-17.698,0.07400000000000001,-303,22,o,0,3.72,353.65196000000003,-4.53453,1955.68,9697.26,3.87,3.52,20.1,-0.429,19.0,20.46,02a57743o0100o
13,57743.248348,-17.590999999999998,0.068,-334,23,o,0,3.5,353.65196000000003,-4.53453,2013.02,9774.98,3.66,3.29,16.8,-0.45799999999999996,19.02,20.42,02a57743o0129o
14,57743.260720000006,-16.803,0.039,-690,27,o,0,3.49,353.65196000000003,-4.53453,9501.6,90.24,3.63,3.44,69.3,-0.499,19.08,20.46,02a57743o0153o
15,57743.262275,-18.072,0.125,-214,27,o,0,2.34,353.65196000000003,-4.53453,2034.94,9656.51,4.3,3.52,8.0,-0.414,18.9,20.38,02a57743o0156o
16,57743.27626900001,-16.065,0.021,-1362,29,o,0,3.15,353.65196000000003,-4.53453,1997.45,9713.91,4.84,3.82,5.3,-0.40299999999999997,18.81,20.38,02a57743o0183o
17,57743.286601,-22.698,0.16699999999999998,-3,0,o,0,27497.09,353.65196000000003,-4.53453,9486.23,30.27,5.1,3.7,6.2,-0.456,18.87,20.42,02a57743o0203o
18,57744.251028,-18.803,0.193,-109,21,c,0,2.01,353.65196000000003,-4.53453,2929.68,9735.57,3.93,3.62,21.1,-0.38299999999999995,19.33,21.04,02a57744o0129c
19,57744.262405999994,-20.002,0.524,-36,19,c,0,2.56,353.65196000000003,-4.53453,2913.66,9694.39,3.97,3.63,16.3,-0.386,19.3,21.01,02a57744o0151c
20,57744.267546,-16.949,0.038,-603,23,c,0,6.29,353.65196000000003,-4.53453,708.11,60.91,4.27,4.23,-82.1,-0.36,19.3,21.0,02a57744o0161c
21,57744.274302,-18.97,0.23800000000000002,-94,22,c,0,2.19,353.65196000000003,-4.53453,2972.95,9771.35,3.98,3.7,19.8,-0.382,19.29,20.98,02a57744o0174c
22,57744.287321,-18.46,0.142,-150,21,c,0,2.16,353.65196000000003,-4.53453,2995.51,9652.25,3.98,3.69,19.1,-0.41,19.28,20.98,02a57744o0199c
23,57744.29969199999,-18.299,0.122,-174,21,c,0,2.38,353.65196000000003,-4.53453,2957.14,9709.5,4.07,3.77,14.8,-0.409,19.22,20.93,02a57744o0223c
24,57752.234408000004,-16.351,0.29100000000000004,-1046,305,c,0,0.88,353.65196000000003,-4.53453,9077.68,1058.51,4.1,3.83,88.1,-0.428,16.73,18.27,02a57752o0049c
25,57752.249167999995,-17.623,1.672,-324,542,c,0,1.1,353.65196000000003,-4.53453,9058.62,1018.51,4.06,3.96,85.3,-0.457,16.29,17.8,02a57752o0078c
26,57752.2623,16.408,0.23399999999999999,993,232,c,0,1.13,353.65196000000003,-4.53453,9118.49,1095.62,4.02,3.9,64.3,-0.44,16.78,18.31,02a57752o0104c
27,57752.2759,18.087,2.088,211,441,c,0,0.94,353.65196000000003,-4.53453,9139.72,976.58,3.97,3.86,74.2,-0.44799999999999995,16.12,17.64,02a57752o0131c
28,57752.290512,15.044,0.57,3485,1986,c,0,0.91,353.65196000000003,-4.53453,9101.26,1033.39,3.92,3.85,-86.6,-0.47,15.54,17.02,02a57752o0160c
29,57764.23465599999,14.59,0.015,5298,77,o,0,1.81,353.65196000000003,-4.53453,10414.96,2569.3,3.8,2.95,88.2,-0.502,18.0,18.41,02a57764o0091o
30,57764.248414,14.69,0.012,4829,56,o,0,2.06,353.65196000000003,-4.53453,717.83,2544.47,3.79,3.56,83.4,-0.424,18.21,18.79,02a57764o0117o
31,57764.25214,14.682,0.013000000000000001,4867,64,o,0,2.5,353.65196000000003,-4.53453,10394.37,2529.08,3.78,2.98,86.3,-0.484,18.22,18.83,02a57764o0124o
32,57764.262388999996,14.679,0.017,4881,84,o,0,1.67,353.65196000000003,-4.53453,10450.71,2606.61,3.76,2.85,88.0,-0.465,17.99,18.56,02a57764o0144o
33,57764.270984,14.704,0.027999999999999997,4770,132,o,0,1.57,353.65196000000003,-4.53453,10471.93,2489.72,3.76,2.98,85.8,-0.46,17.65,18.16,02a57764o0161o
34,57776.21369,15.692,0.027000000000000003,1920,52,c,0,1.63,353.65196000000003,-4.53453,9937.75,455.28,4.18,3.71,-84.3,-0.4,18.58,19.76,02a57776o0004c
35,57776.218237,15.684000000000001,0.022000000000000002,1935,43,c,0,1.59,353.65196000000003,-4.53453,9920.51,415.95,4.03,3.63,89.3,-0.406,18.85,20.14,02a57776o0013c
36,57776.225657,15.702,0.025,1901,48,c,0,1.22,353.65196000000003,-4.53453,9978.34,494.42,3.97,3.72,83.0,-0.414,18.94,20.38,02a57776o0028c
37,57776.235226,15.683,0.022000000000000002,1935,43,c,0,1.58,353.65196000000003,-4.53453,9998.39,375.7,3.93,3.71,82.0,-0.431,18.95,20.41,02a57776o0047c
38,57919.623455999994,-20.19,2.292,-30,70,o,0,1.55,353.65196000000003,-4.53453,2564.54,1167.75,2.97,2.71,66.2,-0.499,17.58,17.76,01a57919o0734o
39,57931.626058,18.438,0.759,153,116,o,0,1.49,353.65196000000003,-4.53453,4394.14,9718.36,3.48,3.06,56.5,-0.551,17.05,17.41,01a57931o0765o
40,57935.585828999996,-18.314,0.08,-172,14,o,0,3.42,353.65196000000003,-4.53453,2061.03,9564.52,4.71,3.47,-5.9,-0.39,19.2,21.3,01a57935o0675o
41,57935.594329,-21.359,1.2930000000000001,-10,13,o,0,5.08,353.65196000000003,-4.53453,2040.89,9496.58,3.74,3.58,-44.4,-0.428,19.33,21.32,01a57935o0692o
42,57935.602902,-17.355999999999998,0.039,-414,16,o,0,5.02,353.65196000000003,-4.53453,2099.8,9543.96,5.49,3.43,1.0,-0.435,19.11,21.29,01a57935o0709o
43,57935.611553999996,-18.410999999999998,0.11599999999999999,-157,18,o,0,2.79,353.65196000000003,-4.53453,2118.66,9393.31,4.69,3.54,-3.5,-0.431,19.11,21.05,01a57935o0726o
44,57939.600116999994,-20.117,0.392,-33,13,o,0,6.43,353.65196000000003,-4.53453,1041.61,418.14,3.04,2.96,87.9,-0.498,19.49,21.17,01a57939o0695o
45,57939.60241,-19.004,0.127,-91,12,o,0,8.34,353.65196000000003,-4.53453,3386.97,10102.02,3.17,2.96,-46.4,-0.44799999999999995,19.48,21.15,01a57939o0699o
46,57939.610535,-17.208,0.036000000000000004,-475,17,o,0,3.68,353.65196000000003,-4.53453,9315.97,9925.51,5.48,3.49,-2.6,-0.36200000000000004,19.1,21.01,01a57939o0713o
47,57939.612837,-19.164,0.22,-78,17,o,0,2.87,353.65196000000003,-4.53453,6976.58,259.35,4.65,3.15,-1.4,-0.425,19.07,20.77,01a57939o0717o
48,57939.619854,-19.859,0.728,-41,30,o,0,2.29,353.65196000000003,-4.53453,1080.74,385.2,2.98,2.78,84.1,-0.522,18.82,19.61,01a57939o0730o
49,57939.622235,-18.554000000000002,0.252,-138,35,o,0,2.21,353.65196000000003,-4.53453,3426.51,10066.25,2.92,2.72,-58.0,-0.474,18.4,18.97,01a57939o0734o
50,57940.572734,-19.609,0.272,-52,14,o,0,15.27,353.65196000000003,-4.53453,8191.88,1011.19,2.22,1.94,59.8,-0.483,19.5,20.32,02a57940o0609o
51,57940.594023000005,-20.651,0.5479999999999999,-20,11,o,0,26.05,353.65196000000003,-4.53453,8128.07,1094.36,2.27,2.06,59.5,-0.456,19.76,21.03,02a57940o0651o
52,57941.546182000006,-17.666,0.091,-312,28,o,0,6.96,353.65196000000003,-4.53453,8607.48,9210.46,2.67,2.36,49.0,-0.46399999999999997,18.99,19.74,02a57941o0067o
53,57941.552034,19.35,0.313,66,21,o,0,7.99,353.65196000000003,-4.53453,8628.9,9251.04,2.78,2.46,45.4,-0.46399999999999997,19.05,19.78,02a57941o0078o
54,57941.55981900001,-18.248,0.132,-182,24,o,0,9.24,353.65196000000003,-4.53453,8569.96,9175.41,2.73,2.41,45.9,-0.456,19.04,19.82,02a57941o0092o
55,57941.567909000005,18.926,0.22399999999999998,98,22,o,0,6.74,353.65196000000003,-4.53453,8548.4,9294.77,2.73,2.46,41.9,-0.45299999999999996,19.08,19.86,02a57941o0107o
56,57942.53662100001,19.82,0.534,43,23,o,0,2.73,353.65196000000003,-4.53453,4128.24,9476.34,2.91,2.82,-53.4,-0.473,18.76,19.54,01a57942o0570o
57,57942.54502899999,20.756,1.3030000000000002,18,24,o,0,2.99,353.65196000000003,-4.53453,4108.71,9413.46,2.87,2.83,-52.5,-0.48200000000000004,18.67,19.47,01a57942o0587o
58,57942.553413,-19.141,0.276,-80,22,o,0,3.74,353.65196000000003,-4.53453,4165.62,9464.66,2.87,2.83,-77.6,-0.475,18.79,19.55,01a57942o0604o
59,57942.561836,-18.975,0.212,-93,20,o,0,3.78,353.65196000000003,-4.53453,4183.45,9320.13,2.89,2.84,84.9,-0.478,18.85,19.67,01a57942o0621o
60,57943.48314,-19.516,0.6459999999999999,-57,37,o,0,1.81,353.65196000000003,-4.53453,2486.95,3476.73,2.98,2.88,-53.9,-0.46399999999999997,18.31,18.86,01a57943o0473o
61,57943.490596,18.404,0.19699999999999998,158,31,o,0,2.5,353.65196000000003,-4.53453,2464.56,3423.22,3.14,3.04,-57.9,-0.46299999999999997,18.43,19.07,01a57943o0488o
