,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58071.373521,21.495,0.8059999999999999,9,7,c,0,4.03,11.98414,22.37343,6922.33,1946.84,2.86,2.5,46.2,-0.42100000000000004,19.73,21.58,02a58071o0302c
1,58071.385375,19.820999999999998,0.2,43,9,c,0,1.95,11.98414,22.37343,6906.08,1905.65,2.83,2.46,46.5,-0.429,19.76,21.57,02a58071o0325c
2,58071.39928099999,-21.39,0.8059999999999999,-10,8,c,0,2.64,11.98414,22.37343,6979.98,1986.37,2.75,2.39,45.0,-0.434,19.78,21.54,02a58071o0352c
3,58071.405327,-22.86,2.722,-3,7,c,0,5.05,11.98414,22.37343,6999.16,1865.71,2.78,2.41,47.6,-0.44,19.74,21.53,02a58071o0365c
4,58073.36001799999,-18.007,0.05,-228,11,o,0,2.14,11.98414,22.37343,1465.89,9680.39,3.58,2.78,-82.7,-0.434,19.39,21.2,01a58073o0370o
5,58073.364872000006,-17.753,0.044000000000000004,-288,12,o,0,2.67,11.98414,22.37343,1486.82,9740.81,3.51,2.8,-84.1,-0.43200000000000005,19.37,21.17,01a58073o0380o
6,58073.377502999996,-17.634,0.048,-321,16,o,0,2.52,11.98414,22.37343,1421.59,9712.28,3.68,2.9,-83.4,-0.423,19.33,21.1,01a58073o0405o
7,58073.384279,-17.561,0.036000000000000004,-343,12,o,0,3.13,11.98414,22.37343,1407.29,9859.0,3.72,2.95,-84.1,-0.423,19.28,21.1,01a58073o0418o
8,58073.385655,-17.984,0.054000000000000006,-232,13,o,0,2.62,11.98414,22.37343,2029.66,130.0,3.43,2.7,82.1,-0.445,19.35,21.08,01a58073o0421o
9,58075.370885000004,-20.179000000000002,0.268,-31,8,c,0,3.18,11.98414,22.37343,6945.36,890.29,2.79,2.42,48.1,-0.44,19.81,21.58,02a58075o0308c
10,58075.380816,-19.723,0.171,-47,8,c,0,2.98,11.98414,22.37343,6928.46,851.65,2.88,2.41,47.2,-0.43799999999999994,19.8,21.6,02a58075o0325c
11,58075.38684299999,-19.45,0.157,-60,10,c,0,1.89,11.98414,22.37343,6983.82,928.26,2.86,2.43,46.1,-0.439,19.81,21.61,02a58075o0338c
12,58075.398297,-11.887,0.044000000000000004,-63829,2824,c,0,16.05,11.98414,22.37343,6351.43,10526.46,2.72,2.35,8.7,-0.48200000000000004,19.77,21.59,02a58075o0362c
13,58075.399665,-20.281,0.293,-28,8,c,0,2.55,11.98414,22.37343,7022.4,812.49,2.91,2.45,48.3,-0.439,19.8,21.69,02a58075o0365c
14,58077.348344000005,-17.898,0.055,-252,14,o,0,3.07,11.98414,22.37343,1686.03,1241.27,3.25,2.84,83.4,-0.45399999999999996,19.07,21.15,01a58077o0340o
15,58077.35754,-17.951,0.047,-240,11,o,0,3.16,11.98414,22.37343,1708.11,1316.64,3.32,2.75,83.8,-0.452,19.3,21.08,01a58077o0358o
16,58077.36683099999,-17.726,0.046,-295,13,o,0,4.27,11.98414,22.37343,1659.46,1276.63,3.19,2.68,80.2,-0.46399999999999997,19.34,21.02,01a58077o0378o
17,58077.378128,-17.752,0.044000000000000004,-288,13,o,0,3.33,11.98414,22.37343,1652.27,1438.67,3.3,2.78,82.2,-0.45799999999999996,19.32,21.02,01a58077o0399o
18,58079.380974,-18.654,0.07,-126,9,c,0,6.35,11.98414,22.37343,5970.45,9132.37,2.54,2.26,7.2,-0.45799999999999996,19.76,21.59,02a58079o0402c
19,58079.38564400001,-19.617,0.177,-52,9,c,0,2.44,11.98414,22.37343,5953.86,9093.69,2.53,2.27,9.8,-0.456,19.78,21.57,02a58079o0412c
20,58079.394898,-19.107,0.126,-83,10,c,0,3.4,11.98414,22.37343,6008.92,9170.18,2.54,2.25,7.2,-0.46799999999999997,19.74,21.53,02a58079o0432c
21,58079.405038,-21.682,1.2329999999999999,-8,10,c,0,2.81,11.98414,22.37343,6030.13,9053.7,2.54,2.27,8.4,-0.46,19.71,21.46,02a58079o0453c
22,58081.332195,-17.962,0.068,-237,16,o,0,1.91,11.98414,22.37343,9851.88,551.3,3.27,2.79,-86.4,-0.457,19.3,20.98,01a58081o0323o
23,58081.334029,-17.636,0.054000000000000006,-320,17,o,0,2.22,11.98414,22.37343,9446.23,10298.06,3.34,2.83,-84.1,-0.45299999999999996,19.16,21.05,01a58081o0327o
24,58081.341251,-17.998,0.063,-230,14,o,0,1.81,11.98414,22.37343,9875.25,626.26,3.42,2.88,-82.4,-0.45,19.39,21.01,01a58081o0340o
25,58081.342627,-17.787,0.044000000000000004,-279,12,o,0,3.83,11.98414,22.37343,300.07,673.72,3.28,2.84,79.8,-0.47600000000000003,19.17,21.12,01a58081o0343o
26,58081.343087,-17.627,0.039,-323,13,o,0,3.77,11.98414,22.37343,9471.31,10374.26,3.62,2.83,-87.0,-0.447,19.35,21.04,01a58081o0344o
