,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58001.617787999996,20.648000000000003,1.083,20,22,o,0,1.91,82.2135,-35.74323,4829.09,5583.31,2.2,2.08,23.1,-0.46299999999999997,18.61,19.16,02a58001o0797o
1,58001.626247,-19.242,0.24,-73,18,o,0,1.99,82.2135,-35.74323,4843.83,5622.69,2.21,2.11,13.3,-0.456,18.68,19.25,02a58001o0815o
2,58001.635222000004,-21.088,2.283,-13,30,o,0,0.96,82.2135,-35.74323,4780.29,5546.57,2.33,2.29,60.8,-0.44799999999999995,18.46,18.92,02a58001o0834o
3,58001.64374299999,-17.887,0.436,-254,111,o,0,1.42,82.2135,-35.74323,4763.07,5663.51,2.3,2.23,-7.2,-0.47700000000000004,16.96,17.08,02a58001o0852o
4,58007.62037999999,-20.524,0.8220000000000001,-22,18,o,0,1.53,82.2135,-35.74323,4101.57,4140.69,3.3,2.91,82.6,-0.433,18.66,19.76,01a58007o0855o
5,58007.622666999996,-20.24,0.775,-29,23,o,0,1.08,82.2135,-35.74323,4082.58,4093.62,3.48,3.0,80.7,-0.419,18.64,19.78,01a58007o0860o
6,58007.635967999995,19.735,0.865,46,40,o,0,1.33,82.2135,-35.74323,4112.14,4127.48,3.27,3.14,63.2,-0.41600000000000004,17.97,18.69,01a58007o0889o
7,58007.643755,17.641,0.769,319,245,o,0,1.17,82.2135,-35.74323,4120.15,3985.2,6.94,4.45,14.5,-0.243,16.69,17.09,01a58007o0906o
8,58011.606123000005,20.631,0.8190000000000001,20,17,o,0,1.19,82.2135,-35.74323,3843.55,4281.04,3.06,2.73,89.1,-0.452,19.09,20.34,01a58011o0827o
9,58011.613937,-21.026999999999997,1.203,-14,17,o,0,1.03,82.2135,-35.74323,3827.03,4242.29,3.16,2.83,-87.7,-0.442,19.05,20.35,01a58011o0844o
10,58011.621773,-23.715999999999998,15.5,-1,18,o,0,1.12,82.2135,-35.74323,3873.84,4320.29,2.88,2.67,89.9,-0.46299999999999997,18.91,20.06,01a58011o0861o
11,58011.629585,-20.926,1.514,-16,23,o,0,0.83,82.2135,-35.74323,3904.43,4205.1,3.01,2.75,-87.6,-0.451,18.77,19.95,01a58011o0878o
12,58013.613587,20.879,0.618,16,10,c,0,1.61,82.2135,-35.74323,6390.56,7587.32,2.56,2.52,56.4,-0.425,19.64,21.41,02a58013o0863c
13,58013.622518,-20.457,0.34700000000000003,-24,8,c,0,1.72,82.2135,-35.74323,6418.83,7628.06,2.57,2.51,63.7,-0.429,19.66,21.39,02a58013o0880c
14,58013.6312,-23.179000000000002,5.385,-2,10,c,0,1.18,82.2135,-35.74323,6354.98,7550.64,2.64,2.59,76.0,-0.423,19.54,21.14,02a58013o0899c
15,58013.644522,19.656,1.756,50,88,c,0,1.39,82.2135,-35.74323,6334.46,7669.72,2.63,2.6,-63.1,-0.413,17.41,18.14,02a58013o0928c
16,58015.591126,-23.328000000000003,12.8,-2,22,o,0,1.15,82.2135,-35.74323,5363.74,2296.43,4.12,3.82,-2.5,-0.36700000000000005,18.77,20.3,01a58015o0474o
17,58015.598966,-19.721,0.474,-47,22,o,0,1.02,82.2135,-35.74323,5347.47,2259.07,4.09,3.94,3.4,-0.374,18.74,20.31,01a58015o0491o
18,58015.606786000004,21.566,2.667,9,23,o,0,1.25,82.2135,-35.74323,5393.37,2337.08,4.4,4.38,73.3,-0.35200000000000004,18.72,20.35,01a58015o0508o
19,58015.614587000004,-20.758000000000003,1.275,-18,23,o,0,1.03,82.2135,-35.74323,5422.96,2220.59,4.53,3.63,0.2,-0.37799999999999995,18.66,20.32,01a58015o0525o
20,58017.626925,-21.121,0.7929999999999999,-13,10,c,0,1.18,82.2135,-35.74323,6026.8,6369.72,2.65,2.47,52.8,-0.45,19.59,21.4,02a58017o0751c
21,58017.631042999994,-22.164,1.735,-5,9,c,0,1.89,82.2135,-35.74323,6041.47,6409.43,2.63,2.44,55.1,-0.445,19.55,21.27,02a58017o0760c
22,58017.64246,20.294,1.2429999999999999,28,34,c,0,1.15,82.2135,-35.74323,5977.13,6332.14,2.55,2.36,56.0,-0.45399999999999996,18.3,19.19,02a58017o0785c
23,58019.598714,-20.089000000000002,0.747,-34,25,o,0,1.06,82.2135,-35.74323,3837.18,2228.74,4.23,3.79,74.4,-0.409,18.72,20.38,01a58019o0709o
24,58019.60329500001,-19.43,0.375,-61,23,o,0,1.1,82.2135,-35.74323,3820.09,2189.65,3.59,3.21,78.8,-0.41700000000000004,18.64,20.17,01a58019o0719o
25,58019.611080999995,-19.418,0.47700000000000004,-62,30,o,0,0.87,82.2135,-35.74323,3881.95,2267.97,3.84,3.49,76.5,-0.401,18.32,19.94,01a58019o0736o
26,58019.618869000005,20.256,0.815,29,23,o,0,1.08,82.2135,-35.74323,3895.15,2151.84,3.88,3.45,79.6,-0.40700000000000003,18.83,20.49,01a58019o0753o
27,58021.623836,-21.962,1.061,-6,6,c,0,2.47,82.2135,-35.74323,3362.0,5153.52,2.41,2.29,48.4,-0.42100000000000004,19.71,21.45,02a58021o0877c
28,58021.635646,24.419,15.0,1,9,c,0,1.66,82.2135,-35.74323,3392.39,5192.27,2.44,2.32,52.2,-0.42,19.45,20.85,02a58021o0902c
29,58021.646113,-21.845,10.759,-7,71,c,0,1.06,82.2135,-35.74323,3324.38,5117.23,2.41,2.31,42.8,-0.457,17.41,18.14,02a58021o0924c
30,58023.575278,-21.018,1.1640000000000001,-14,16,o,0,1.1,82.2135,-35.74323,4280.1,5691.91,3.49,2.66,88.2,-0.434,19.04,20.4,01a58023o0688o
31,58023.58309,-19.974,0.426,-37,16,o,0,1.19,82.2135,-35.74323,4253.71,5627.06,3.45,2.7,87.9,-0.43,19.05,20.41,01a58023o0705o
32,58023.590911,-19.92,0.446,-39,17,o,0,0.98,82.2135,-35.74323,4290.91,5678.51,3.55,3.42,86.7,-0.386,18.95,20.5,01a58023o0722o
33,58023.598727,-19.596,0.29,-53,15,o,0,1.08,82.2135,-35.74323,4313.01,5536.35,3.54,2.7,87.6,-0.425,19.12,20.57,01a58023o0739o
34,58027.56090599999,-22.258000000000003,3.2110000000000003,-4,15,o,0,1.82,82.2135,-35.74323,7232.63,2510.27,3.47,3.06,85.2,-0.41600000000000004,19.07,20.55,01a58027o0497o
35,58027.568734,-19.8,0.314,-44,14,o,0,1.55,82.2135,-35.74323,7284.32,2562.5,3.38,2.89,87.7,-0.431,19.11,20.57,01a58027o0514o
36,58027.576562,-21.101999999999997,1.143,-13,15,o,0,1.26,82.2135,-35.74323,7289.64,2420.74,3.5,2.93,86.8,-0.428,19.1,20.6,01a58027o0531o
37,58031.520613,-19.326,0.9520000000000001,-68,64,o,0,1.02,82.2135,-35.74323,5322.54,2574.93,5.37,4.81,-4.0,-0.322,17.52,18.62,01a58031o0684o
38,58031.528637,19.308,0.802,69,55,o,0,0.89,82.2135,-35.74323,5275.3,2513.92,4.42,4.12,81.3,-0.353,17.78,18.67,01a58031o0701o
39,58031.536593,-18.637999999999998,0.35600000000000004,-127,45,o,0,1.08,82.2135,-35.74323,5326.22,2569.42,3.89,3.54,-88.5,-0.381,17.95,18.71,01a58031o0718o
40,58031.544586,20.933000000000003,2.818,15,43,o,0,1.21,82.2135,-35.74323,5329.01,2429.26,4.23,3.81,81.5,-0.381,17.9,18.76,01a58031o0735o
41,58037.565258,21.601999999999997,2.039,8,17,o,0,1.6,82.2135,-35.74323,3766.42,8013.65,2.17,2.07,-25.3,-0.461,19.09,19.83,02a58037o0560o
42,58037.567538999996,-19.736,0.364,-46,17,o,0,1.61,82.2135,-35.74323,3781.41,8052.95,2.28,2.19,-33.7,-0.455,19.1,19.82,02a58037o0565o
43,58037.572103,22.288,4.658,4,21,o,0,0.97,82.2135,-35.74323,3735.44,7975.07,2.28,2.15,-29.4,-0.45299999999999996,19.09,19.83,02a58037o0575o
44,58037.581709000006,-20.976,1.082,-15,16,o,0,1.32,82.2135,-35.74323,3716.04,8092.74,2.21,2.1,-20.5,-0.45799999999999996,19.11,19.84,02a58037o0596o
45,58039.557294000006,21.331,1.844,11,20,o,0,1.2,82.2135,-35.74323,5910.48,5428.8,3.37,3.12,85.3,-0.415,18.85,20.05,01a58039o0639o
