,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57721.319548,22.214000000000002,3.0,5,14,c,0,1.15,14.3829,30.185229999999997,5242.0,2354.61,3.91,3.86,-77.9,-0.373,19.7,21.71,02a57721o0247c
1,57721.330923,-20.84,0.8540000000000001,-17,14,c,0,1.2,14.3829,30.185229999999997,5226.22,2315.57,4.01,3.93,-73.1,-0.369,19.68,21.71,02a57721o0267c
2,57721.35406799999,-20.579,0.6609999999999999,-21,14,c,0,1.12,14.3829,30.185229999999997,5276.8,2394.1,3.99,3.83,-86.3,-0.373,19.73,21.78,02a57721o0309c
3,57721.37233300001,-20.277,0.46399999999999997,-28,13,c,0,1.36,14.3829,30.185229999999997,5294.53,2276.88,3.88,3.76,-83.7,-0.38299999999999995,19.74,21.77,02a57721o0343c
4,57721.376886,-22.709,4.75,-3,14,c,0,0.98,14.3829,30.185229999999997,5261.72,2334.96,4.13,4.05,-77.0,-0.365,19.66,21.76,02a57721o0351c
5,57737.284287,-20.936999999999998,2.1959999999999997,-15,34,o,0,1.59,14.3829,30.185229999999997,4272.88,8915.47,3.62,3.37,5.7,-0.424,18.72,19.72,02a57737o0193o
6,57737.291492,22.316999999999997,8.5,4,36,o,0,1.39,14.3829,30.185229999999997,4256.73,8875.48,3.49,3.22,3.6,-0.425,18.73,19.69,02a57737o0205o
7,57737.304818,20.616,1.9240000000000002,21,40,o,0,1.07,14.3829,30.185229999999997,4324.39,8954.07,3.45,3.28,1.8,-0.433,18.69,19.62,02a57737o0226o
8,57737.312304,19.410999999999998,0.701,62,44,o,0,1.08,14.3829,30.185229999999997,4340.6,8835.14,3.3,3.18,-9.0,-0.43799999999999994,18.69,19.59,02a57737o0240o
9,57737.325344000004,-20.425,1.754,-24,43,o,0,1.17,14.3829,30.185229999999997,4289.85,8895.53,3.87,3.36,3.1,-0.409,18.6,19.6,02a57737o0263o
10,57745.277243,-22.7,5.667000000000001,-3,17,c,0,1.16,14.3829,30.185229999999997,7387.27,373.47,3.82,3.71,-69.2,-0.42,19.67,21.57,02a57745o0180c
11,57745.277757,-19.732,0.396,-46,18,c,0,1.24,14.3829,30.185229999999997,6145.8,10116.54,3.7,3.19,-9.2,-0.436,19.61,21.54,02a57745o0181c
12,57745.28711900001,22.142,3.4,5,17,c,0,1.16,14.3829,30.185229999999997,7370.87,332.85,3.84,3.69,-68.1,-0.424,19.66,21.55,02a57745o0199c
