,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57735.551887,-20.035,1.4369999999999998,-35,50,o,0,1.14,128.45758,-25.04016,1173.45,238.57,4.11,3.75,-20.2,-0.439,18.31,19.04,02a57735o0604o
1,57735.55446,-24.169,76.5,-1,60,o,0,0.89,128.45758,-25.04016,1880.23,10110.28,4.21,3.44,10.3,-0.435,18.21,18.98,02a57735o0609o
2,57735.565741,-20.085,1.463,-34,49,o,0,1.28,128.45758,-25.04016,1155.42,201.79,4.13,3.79,-21.5,-0.43700000000000006,18.3,19.03,02a57735o0631o
3,57735.567799000004,-20.781,3.2,-18,57,o,0,1.07,128.45758,-25.04016,1863.36,10073.84,3.81,3.4,18.2,-0.449,18.28,18.97,02a57735o0635o
4,57735.57960800001,-22.965999999999998,21.5,-2,51,o,0,1.0,128.45758,-25.04016,1210.59,284.27,3.98,3.73,-29.5,-0.45399999999999996,18.34,19.04,02a57735o0658o
5,57735.58218,19.089000000000002,0.667,84,56,o,0,0.94,128.45758,-25.04016,1916.47,10153.96,3.71,3.4,21.5,-0.457,18.29,18.97,02a57735o0663o
6,57735.593449,19.473,1.02,59,60,o,0,0.79,128.45758,-25.04016,1230.29,165.19,4.05,3.77,-24.2,-0.442,18.31,19.02,02a57735o0685o
7,57735.595999,-19.956,1.462,-38,55,o,0,1.62,128.45758,-25.04016,1938.0,10034.61,3.78,3.47,20.1,-0.45,18.27,18.96,02a57735o0690o
8,57735.607299,18.984,0.594,92,55,o,0,1.04,128.45758,-25.04016,1197.4,221.34,4.16,3.86,-26.8,-0.436,18.28,19.01,02a57735o0712o
9,57735.609876,-19.11,0.703,-82,58,o,0,1.18,128.45758,-25.04016,1904.0,10092.88,3.65,3.36,18.6,-0.465,18.29,18.95,02a57735o0717o
10,57743.606134,20.433,1.344,24,33,o,0,1.01,128.45758,-25.04016,849.15,8822.35,3.79,3.56,36.2,-0.469,18.99,20.46,02a57743o0820o
11,57743.61846699999,-19.381,0.462,-64,30,o,0,1.52,128.45758,-25.04016,832.66,8780.86,3.77,3.55,38.7,-0.47200000000000003,18.93,20.36,02a57743o0844o
12,57743.630866,20.407,1.3,25,32,o,0,1.54,128.45758,-25.04016,904.3,8858.09,3.99,3.74,38.0,-0.457,18.84,20.25,02a57743o0868o
13,57747.523797,-19.697,0.434,-48,21,c,0,2.51,128.45758,-25.04016,293.69,9816.69,4.29,3.72,21.9,-0.449,19.57,21.66,02a57747o0675c
14,57747.537313,-19.503,0.35600000000000004,-57,20,c,0,1.68,128.45758,-25.04016,277.46,9778.92,4.33,3.77,24.4,-0.44,19.57,21.65,02a57747o0702c
15,57747.538304999995,-19.576,0.373,-54,20,c,0,1.48,128.45758,-25.04016,10200.85,9856.15,4.23,4.03,73.1,-0.415,19.61,21.68,02a57747o0704c
16,57747.550825,-19.868,0.602,-41,25,c,0,1.26,128.45758,-25.04016,330.5,9858.6,4.94,3.92,12.5,-0.43700000000000006,19.45,21.6,02a57747o0729c
17,57747.55183,-20.328,0.809,-27,22,c,0,0.98,128.45758,-25.04016,10183.82,9817.17,4.16,3.99,70.8,-0.42100000000000004,19.59,21.66,02a57747o0731c
18,57747.56234,18.727,0.261,117,31,c,0,2.59,128.45758,-25.04016,9141.47,62.48,4.27,4.18,23.9,-0.39399999999999996,19.6,21.67,02a57747o0752c
19,57747.563845000004,-19.487000000000002,0.41100000000000003,-58,24,c,0,1.82,128.45758,-25.04016,350.55,9739.07,4.77,3.93,12.9,-0.439,19.45,21.55,02a57747o0755c
20,57747.564835000005,-19.07,0.245,-86,21,c,0,2.65,128.45758,-25.04016,10237.89,9897.89,4.23,4.15,48.4,-0.43200000000000005,19.55,21.6,02a57747o0757c
21,57747.577362,19.112000000000002,0.275,82,23,c,0,2.39,128.45758,-25.04016,315.57,9796.7,5.17,4.14,10.9,-0.39299999999999996,19.4,21.51,02a57747o0782c
22,57747.578357000006,15.017999999999999,0.006,3571,23,c,0,324.23,128.45758,-25.04016,10273.1,9778.72,4.98,4.26,4.1,-0.397,19.43,21.58,02a57747o0784c
23,57747.591891,20.222,0.662,30,20,c,0,1.25,128.45758,-25.04016,10220.93,9839.49,4.55,4.3,15.7,-0.4,19.47,21.56,02a57747o0811c
24,57751.518963,20.614,0.985,21,20,c,0,0.98,128.45758,-25.04016,3774.92,8801.32,3.67,3.46,9.9,-0.435,19.74,21.82,02a57751o0185c
25,57751.532075,21.459,2.103,10,20,c,0,1.11,128.45758,-25.04016,3759.4,8764.01,3.76,3.56,15.4,-0.436,19.73,21.81,02a57751o0211c
26,57751.545207,20.84,1.122,17,19,c,0,1.42,128.45758,-25.04016,3828.24,8843.44,3.86,3.68,19.9,-0.426,19.7,21.8,02a57751o0237c
27,57751.558828999994,20.116,0.5760000000000001,33,19,c,0,1.03,128.45758,-25.04016,3846.77,8727.42,3.9,3.8,24.9,-0.42,19.65,21.74,02a57751o0264c
28,57751.567851,-20.754,1.093,-18,20,c,0,1.33,128.45758,-25.04016,3794.76,8783.79,3.79,3.64,17.8,-0.431,19.66,21.72,02a57751o0282c
29,57755.50694,25.026,48.0,0,17,c,0,1.38,128.45758,-25.04016,1828.42,1298.43,3.9,3.86,-40.8,-0.41600000000000004,19.74,21.76,02a57755o0601c
30,57755.520489999995,-19.205,0.244,-76,18,c,0,1.52,128.45758,-25.04016,1812.42,1258.66,3.91,3.86,-31.8,-0.415,19.74,21.76,02a57755o0627c
31,57755.533403999994,-21.531,1.68,-9,15,c,0,2.55,128.45758,-25.04016,1867.25,1337.81,3.9,3.85,-34.6,-0.41700000000000004,19.75,21.79,02a57755o0652c
