,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58062.60948200001,-18.445,2.4090000000000003,-152,366,o,0,1.02,143.08656000000002,3.44697,7676.95,9209.14,2.49,2.24,11.6,-0.425,16.81,16.78,02a58062o0615o
1,58062.619249,-17.491,0.5379999999999999,-366,197,o,0,1.12,143.08656000000002,3.44697,7614.95,9134.45,2.86,2.58,42.7,-0.45399999999999996,17.29,17.49,02a58062o0629o
2,58062.625458,-19.584,2.6,-53,138,o,0,1.13,143.08656000000002,3.44697,7594.75,9252.98,2.7,2.36,34.3,-0.369,16.97,17.04,02a58062o0642o
3,58066.618667999996,-21.029,1.429,-14,20,o,0,0.78,143.08656000000002,3.44697,7728.37,335.09,2.27,2.09,38.9,-0.435,19.12,19.79,02a58066o0877o
4,58066.626911,-21.404,1.755,-10,18,o,0,0.99,143.08656000000002,3.44697,7747.05,376.56,2.22,2.04,54.0,-0.457,19.2,19.8,02a58066o0894o
5,58066.635582,22.213,3.6,5,17,o,0,1.13,143.08656000000002,3.44697,7688.16,299.72,2.26,2.12,47.6,-0.434,19.15,19.81,02a58066o0911o
6,58066.644086,21.505,1.756,9,16,o,0,1.05,143.08656000000002,3.44697,7665.78,420.04,2.21,2.05,59.0,-0.447,19.13,19.72,02a58066o0928o
7,58068.603087,-20.381,0.932,-26,24,o,0,0.82,143.08656000000002,3.44697,5428.33,10434.8,2.98,2.88,-89.4,-0.457,18.7,19.92,01a58068o0729o
8,58070.61823099999,-20.519000000000002,0.413,-22,9,o,0,1.03,143.08656000000002,3.44697,5877.94,7713.11,1.96,1.78,20.6,-0.526,19.67,20.85,02a58070o0886o
9,58070.628761,-21.622,1.135,-8,9,o,0,1.13,143.08656000000002,3.44697,5897.24,7753.97,1.95,1.77,19.4,-0.513,19.71,20.95,02a58070o0901o
10,58070.636279,-20.964000000000002,0.552,-15,8,o,0,1.24,143.08656000000002,3.44697,5838.22,7678.34,1.96,1.8,23.0,-0.517,19.72,20.97,02a58070o0916o
11,58070.64431,-21.478,0.903,-9,8,o,0,1.57,143.08656000000002,3.44697,5818.93,7795.59,1.89,1.77,24.7,-0.528,19.7,20.83,02a58070o0931o
12,58072.59351,-19.838,0.322,-42,14,o,0,0.88,143.08656000000002,3.44697,5277.31,4354.67,3.05,2.92,81.2,-0.43,19.26,20.75,01a58072o0866o
13,58072.59997,21.579,1.5230000000000001,8,13,o,0,1.11,143.08656000000002,3.44697,5258.69,4297.08,3.04,2.9,88.1,-0.43200000000000005,19.27,20.78,01a58072o0880o
14,58072.60972000001,-21.884,2.0909999999999997,-6,13,o,0,1.08,143.08656000000002,3.44697,5317.94,4343.74,3.05,2.92,88.9,-0.43,19.29,20.82,01a58072o0894o
15,58072.616259,-21.131,1.127,-13,14,o,0,0.89,143.08656000000002,3.44697,5337.05,4206.38,2.91,2.79,-87.0,-0.446,19.32,20.79,01a58072o0908o
16,58074.584130999996,-20.584,0.525,-21,11,c,0,0.87,143.08656000000002,3.44697,7397.22,9074.85,2.57,2.37,28.3,-0.43799999999999994,19.65,21.31,02a58074o0700c
17,58074.592282000005,-20.483,0.374,-23,9,c,0,1.21,143.08656000000002,3.44697,7414.69,9116.11,2.73,2.5,21.0,-0.43200000000000005,19.63,21.35,02a58074o0717c
18,58074.600289999995,-22.289,2.226,-4,10,c,0,0.97,143.08656000000002,3.44697,7354.5,9039.43,2.7,2.44,24.9,-0.42200000000000004,19.62,21.36,02a58074o0734c
19,58074.608453999994,-20.096,0.28800000000000003,-33,10,c,0,0.86,143.08656000000002,3.44697,7334.79,9158.62,2.6,2.4,17.5,-0.434,19.68,21.37,02a58074o0751c
20,58076.571601999996,-19.885,0.583,-40,24,o,0,0.98,143.08656000000002,3.44697,4974.86,868.97,3.21,3.08,-86.7,-0.424,18.68,20.22,01a58076o0738o
21,58076.579471000005,-20.092,0.8270000000000001,-33,28,o,0,0.97,143.08656000000002,3.44697,4958.59,809.19,3.32,3.24,80.3,-0.41,18.43,20.09,01a58076o0755o
22,58076.58734500001,-21.5,2.7689999999999997,-9,25,o,0,0.85,143.08656000000002,3.44697,5020.85,864.27,3.26,3.13,84.0,-0.42100000000000004,18.71,20.33,01a58076o0772o
23,58076.587803999995,19.667,2.875,49,142,o,0,0.08,143.08656000000002,3.44697,5250.99,10516.76,3.6,3.26,-79.6,-0.428,18.59,20.32,01a58076o0773o
24,58078.57091,-20.568,0.42,-22,9,c,0,1.0,143.08656000000002,3.44697,6663.37,8835.83,2.6,2.37,24.3,-0.44,19.74,21.45,02a58078o0794c
25,58080.554938,24.859,33.0,0,14,o,0,0.85,143.08656000000002,3.44697,2494.34,3612.43,3.33,2.82,84.9,-0.439,19.26,20.93,01a58080o0762o
26,58080.562852999996,-21.985,2.452,-6,14,o,0,0.88,143.08656000000002,3.44697,2477.44,3553.23,3.18,2.67,88.4,-0.452,19.35,20.96,01a58080o0779o
27,58080.570769000005,-20.445,0.48700000000000004,-24,12,o,0,0.98,143.08656000000002,3.44697,2537.57,3608.87,3.31,2.89,85.3,-0.439,19.3,21.01,01a58080o0796o
28,58080.578650999996,-20.019000000000002,0.35200000000000004,-36,13,o,0,0.89,143.08656000000002,3.44697,2558.56,3470.32,3.1,2.65,86.3,-0.455,19.38,21.03,01a58080o0813o
29,58082.549564,-20.453,0.369,-24,9,c,0,0.87,143.08656000000002,3.44697,7768.61,6547.22,2.56,2.49,60.1,-0.435,19.65,21.34,02a58082o0763c
30,58082.557522,-21.143,0.667,-13,8,c,0,1.31,143.08656000000002,3.44697,7786.39,6588.03,2.48,2.43,67.0,-0.43799999999999994,19.68,21.35,02a58082o0780c
31,58082.565587,-21.497,1.273,-9,12,c,0,0.87,143.08656000000002,3.44697,7727.39,6512.31,2.57,2.49,29.3,-0.424,19.46,21.11,02a58082o0797c
32,58092.531926999996,20.284000000000002,0.8759999999999999,28,24,o,0,1.44,143.08656000000002,3.44697,3188.09,2963.7,3.18,2.93,89.2,-0.44,18.5,19.3,01a58092o0730o
33,58092.539978,-21.874000000000002,4.533,-6,29,o,0,0.7,143.08656000000002,3.44697,3169.77,2902.01,3.28,3.01,83.7,-0.442,18.49,19.33,01a58092o0747o
34,58092.548149,20.093,0.804,33,27,o,0,1.1,143.08656000000002,3.44697,3229.89,2954.95,3.21,2.94,80.8,-0.43,18.57,19.37,01a58092o0764o
35,58092.556273,-20.885,1.47,-16,24,o,0,1.08,143.08656000000002,3.44697,3249.75,2813.23,3.12,2.84,74.6,-0.444,18.59,19.45,01a58092o0781o
36,58096.529028,-19.654,0.424,-50,21,o,0,0.91,143.08656000000002,3.44697,5587.73,3707.68,3.24,2.9,-86.9,-0.423,18.75,19.93,01a58096o0735o
37,58096.53619299999,-20.118,0.632,-33,21,o,0,1.02,143.08656000000002,3.44697,5568.92,3647.5,3.11,2.81,-88.6,-0.436,18.85,19.97,01a58096o0750o
38,58096.543252999996,-19.903,0.6609999999999999,-40,26,o,0,1.1,143.08656000000002,3.44697,5628.46,3702.43,3.22,2.97,-85.1,-0.429,18.52,19.45,01a58096o0765o
39,58096.55022899999,-21.899,3.1289999999999996,-6,20,o,0,1.14,143.08656000000002,3.44697,5648.55,3564.14,3.18,2.98,-87.3,-0.423,18.85,20.03,01a58096o0780o
40,58098.528188,21.750999999999998,2.4730000000000003,7,18,o,0,1.09,143.08656000000002,3.44697,7081.87,6632.36,2.03,1.96,29.3,-0.488,18.93,19.77,02a58098o0728o
41,58098.53544199999,21.77,1.91,7,14,o,0,1.38,143.08656000000002,3.44697,7101.1,6673.58,1.98,1.91,29.0,-0.49,19.26,20.22,02a58098o0743o
42,58098.542584,-20.51,0.42200000000000004,-23,10,o,0,1.65,143.08656000000002,3.44697,7042.06,6597.78,1.99,1.92,23.0,-0.483,19.55,20.65,02a58098o0758o
43,58098.54969299999,-20.979,0.775,-15,11,o,0,1.33,143.08656000000002,3.44697,7020.75,6715.88,1.91,1.85,40.7,-0.505,19.48,20.5,02a58098o0773o
44,58100.521401,-20.752,0.659,-18,12,o,0,1.1,143.08656000000002,3.44697,4671.64,2419.8,3.26,3.04,87.9,-0.424,19.41,21.29,01a58100o0724o
45,58100.528598000004,-20.349,0.344,-26,9,o,0,1.81,143.08656000000002,3.44697,4652.84,2358.87,3.17,2.93,-88.5,-0.426,19.41,21.35,01a58100o0739o
46,58100.535703999994,-21.811,1.706,-7,12,o,0,0.88,143.08656000000002,3.44697,4712.58,2413.54,3.07,2.84,89.6,-0.429,19.44,21.34,01a58100o0754o
47,58100.542824000004,-20.119,0.342,-33,11,o,0,1.03,143.08656000000002,3.44697,4732.57,2273.82,3.05,2.94,-82.9,-0.435,19.38,21.26,01a58100o0769o
48,58104.513359000004,24.373,21.666999999999998,1,14,o,0,1.08,143.08656000000002,3.44697,3146.32,2879.02,3.27,3.03,-83.9,-0.433,19.25,20.9,01a58104o0077o
49,58104.521514,-23.684,10.667,-1,13,o,0,1.31,143.08656000000002,3.44697,3127.92,2814.07,3.19,2.93,87.9,-0.434,19.31,20.96,01a58104o0094o
50,58104.529612,20.84,0.8079999999999999,17,14,o,0,1.03,143.08656000000002,3.44697,3187.39,2866.38,3.4,3.14,12.0,-0.42,19.25,20.97,01a58104o0111o
51,58104.537784,-19.96,0.405,-38,15,o,0,1.01,143.08656000000002,3.44697,3207.6,2722.74,4.56,3.25,-1.1,-0.39899999999999997,19.04,20.99,01a58104o0128o
52,58112.475252,20.017,0.317,36,11,o,0,1.11,143.08656000000002,3.44697,2990.31,2910.62,3.37,2.9,86.9,-0.433,19.43,21.34,01a58112o0608o
53,58112.4824,20.605,0.505,21,10,o,0,1.18,143.08656000000002,3.44697,2971.82,2851.48,3.47,2.96,85.1,-0.43,19.37,21.34,01a58112o0623o
54,58112.489502,20.218,0.41600000000000004,30,12,o,0,1.01,143.08656000000002,3.44697,3032.22,2907.7,3.42,2.91,86.1,-0.43200000000000005,19.39,21.3,01a58112o0638o
55,58112.49662799999,19.394000000000002,0.19,64,12,o,0,1.16,143.08656000000002,3.44697,3051.73,2769.39,3.4,2.98,88.4,-0.43,19.34,21.23,01a58112o0653o
56,58116.494623,19.771,0.32,45,14,o,0,1.4,143.08656000000002,3.44697,5703.03,3371.88,3.39,2.77,-89.7,-0.42,19.05,20.32,01a58116o0617o
57,58116.502835,20.125999999999998,0.503,32,16,o,0,1.31,143.08656000000002,3.44697,5684.21,3305.89,3.46,3.05,-87.4,-0.392,18.99,20.35,01a58116o0634o
58,58116.511185,20.175,0.615,31,19,o,0,1.1,143.08656000000002,3.44697,5743.77,3354.89,4.76,3.59,0.8,-0.34299999999999997,18.73,20.4,01a58116o0651o
59,58116.51955499999,19.249000000000002,0.235,72,17,o,0,1.05,143.08656000000002,3.44697,5763.81,3209.19,3.53,3.39,-53.7,-0.4,18.98,20.45,01a58116o0668o
60,58118.48044299999,19.433,0.321,61,20,o,0,1.18,143.08656000000002,3.44697,6014.36,9917.47,2.14,1.97,17.6,-0.516,19.04,19.55,02a58118o0362o
61,58118.482366,19.393,0.354,64,22,o,0,0.52,143.08656000000002,3.44697,5887.8,144.79,2.23,1.95,49.6,-0.467,19.01,19.55,02a58118o0366o
62,58118.488732000005,20.058,0.5720000000000001,34,20,o,0,1.34,143.08656000000002,3.44697,6032.66,9958.54,2.25,2.01,30.2,-0.485,19.07,19.58,02a58118o0379o
63,58118.49066,18.972,0.214,94,20,o,0,1.17,143.08656000000002,3.44697,5906.71,186.35,2.21,1.94,54.7,-0.47700000000000004,19.04,19.57,02a58118o0383o
64,58118.497013,19.026,0.231,89,20,o,0,1.03,143.08656000000002,3.44697,5973.61,9881.5,2.22,2.03,22.1,-0.495,19.01,19.57,02a58118o0396o
65,58118.49884400001,19.761,0.518,45,23,o,0,1.35,143.08656000000002,3.44697,5847.97,109.65,2.29,2.0,48.9,-0.498,18.78,19.25,02a58118o0400o
66,58118.505053999994,-22.166999999999998,14.743,-5,73,o,0,1.35,143.08656000000002,3.44697,5952.41,10000.64,2.12,1.89,21.8,-0.491,17.79,17.85,02a58118o0413o
67,58118.507002,-21.651,7.13,-8,57,o,0,1.17,143.08656000000002,3.44697,5826.5,229.47,2.22,1.94,51.8,-0.535,17.68,17.75,02a58118o0417o
68,58119.515164,19.43,0.473,61,29,o,0,1.44,143.08656000000002,3.44697,7005.19,8387.15,2.03,1.96,13.4,-0.511,18.84,19.17,02a58119o0642o
69,58119.525955,20.36,1.381,26,36,o,0,1.09,143.08656000000002,3.44697,7022.17,8427.15,2.21,2.13,5.6,-0.503,18.76,19.18,02a58119o0661o
70,58119.536213,19.342,0.569,67,38,o,0,0.97,143.08656000000002,3.44697,6956.55,8347.03,2.2,2.12,-12.3,-0.493,18.74,19.18,02a58119o0680o
71,58119.546198000004,-22.448,11.162,-4,42,o,0,0.82,143.08656000000002,3.44697,6935.75,8466.09,2.14,2.03,15.0,-0.531,18.77,19.18,02a58119o0699o
72,58120.4517,18.975,0.43700000000000006,93,41,o,0,1.05,143.08656000000002,3.44697,2748.03,3161.28,3.21,2.6,84.7,-0.461,18.16,18.65,01a58120o0554o
