,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57736.435583000006,-19.524,1.3219999999999998,-56,74,o,0,1.37,68.18512,-5.8918,5569.29,6783.42,3.38,3.34,-49.9,-0.48200000000000004,18.12,18.54,02a57736o0475o
1,57736.449586,-20.781,3.909,-18,69,o,0,1.62,68.18512,-5.8918,5547.19,6746.35,3.41,3.34,-58.9,-0.479,18.1,18.52,02a57736o0500o
2,57736.46384,-18.921,0.664,-98,65,o,0,2.88,68.18512,-5.8918,5610.51,6826.82,3.33,3.24,-27.4,-0.47,18.09,18.48,02a57736o0524o
3,57736.478637,22.235,15.786,5,73,o,0,2.2,68.18512,-5.8918,5622.76,6707.92,3.48,3.4,-79.2,-0.46799999999999997,18.05,18.44,02a57736o0549o
4,57736.49331900001,23.002,34.0,2,78,o,0,1.89,68.18512,-5.8918,5593.06,6766.36,4.02,3.4,2.0,-0.462,17.93,18.4,02a57736o0574o
5,57743.444167999995,-20.587,0.889,-21,19,o,0,1.92,68.18512,-5.8918,4634.28,7114.7,3.89,3.8,85.6,-0.425,19.26,20.99,02a57743o0507o
6,57743.456071,-18.094,0.109,-210,23,o,0,1.96,68.18512,-5.8918,4616.07,7074.63,4.34,4.17,77.6,-0.41700000000000004,19.06,20.83,02a57743o0530o
7,57743.469541,-19.165,0.278,-78,22,o,0,1.48,68.18512,-5.8918,4675.02,7151.43,3.67,3.64,-79.1,-0.45399999999999996,19.15,20.7,02a57743o0556o
8,57743.482478,-17.718,0.102,-297,30,o,0,1.85,68.18512,-5.8918,4696.96,7034.48,5.26,5.15,72.7,-0.36700000000000005,18.74,20.65,02a57743o0581o
9,57743.494373,-20.087,0.789,-34,26,o,0,1.17,68.18512,-5.8918,4660.17,7090.51,4.08,3.95,2.6,-0.42700000000000005,18.97,20.56,02a57743o0604o
10,57752.398961,19.107,6.571000000000001,83,543,c,0,1.06,68.18512,-5.8918,4260.8,8098.75,4.02,3.62,57.0,-0.414,15.58,17.27,02a57752o0368c
11,57752.41454,17.738,2.444,292,713,c,0,1.49,68.18512,-5.8918,4245.12,8060.93,3.75,3.67,58.9,-0.40399999999999997,15.02,16.65,02a57752o0398c
12,57752.426973,18.805,0.547,109,60,c,0,1.07,68.18512,-5.8918,4303.9,8136.94,3.77,3.69,63.8,-0.413,18.13,19.91,02a57752o0423c
13,57752.443626,16.935,0.545,611,333,c,0,1.14,68.18512,-5.8918,4326.49,8018.7,3.74,3.71,40.5,-0.409,16.1,17.78,02a57752o0456c
14,57752.45598300001,16.572,0.12300000000000001,853,105,c,0,1.44,68.18512,-5.8918,4289.11,8075.61,3.75,3.7,57.2,-0.415,17.47,19.18,02a57752o0480c
15,57756.381358000006,18.116,0.075,206,15,c,0,1.66,68.18512,-5.8918,6546.64,6751.13,3.52,3.35,-72.6,-0.449,19.83,21.86,02a57756o0354c
16,57756.396587999996,17.815,0.053,272,14,c,0,1.91,68.18512,-5.8918,6527.44,6710.73,3.54,3.37,-75.0,-0.45,19.83,21.86,02a57756o0383c
17,57756.409207000004,17.924,0.055,246,13,c,0,2.86,68.18512,-5.8918,6586.13,6787.45,3.52,3.34,-71.0,-0.45399999999999996,19.81,21.82,02a57756o0404c
18,57756.423827,17.953,0.064,239,15,c,0,1.59,68.18512,-5.8918,6609.92,6671.18,3.59,3.43,-71.8,-0.445,19.77,21.79,02a57756o0430c
19,57756.438515999995,17.919,0.067,247,17,c,0,1.54,68.18512,-5.8918,6572.33,6728.65,3.62,3.45,-74.7,-0.44299999999999995,19.76,21.78,02a57756o0455c
20,57764.374126999995,16.523,0.48,893,429,o,0,1.98,68.18512,-5.8918,5579.42,9625.38,3.5,3.31,8.6,-0.48200000000000004,16.88,16.6,02a57764o0358o
21,57764.389670000004,17.311,0.467,432,202,o,0,2.07,68.18512,-5.8918,5560.35,9585.06,3.47,3.27,4.4,-0.483,17.17,17.23,02a57764o0387o
22,57764.405210000004,17.476,0.958,371,355,o,0,1.58,68.18512,-5.8918,5619.44,9661.47,4.32,3.21,2.0,-0.47600000000000003,17.03,17.11,02a57764o0416o
23,57764.421649,16.42,0.996,982,978,o,0,1.25,68.18512,-5.8918,5643.18,9543.28,6.15,3.41,4.9,-0.368,16.21,16.33,02a57764o0445o
24,57764.438927999996,19.576,9.785,54,525,o,0,1.78,68.18512,-5.8918,5607.16,9601.08,4.42,4.16,50.5,-0.41600000000000004,16.61,16.54,02a57764o0474o
25,57768.361774000005,-16.117,0.736,-1297,954,o,0,2.0,68.18512,-5.8918,6437.26,7700.17,3.35,3.16,-26.6,-0.44799999999999995,15.71,15.77,02a57768o0337o
