,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58061.520945000004,-20.089000000000002,1.835,-33,61,o,0,0.96,136.75017,16.674529999999997,6726.71,9016.4,3.08,2.82,-77.2,-0.46799999999999997,18.25,18.85,01a58061o0699o
1,58061.526153,-20.141,1.808,-32,58,o,0,1.1,136.75017,16.674529999999997,6714.07,8972.84,3.1,2.85,-79.7,-0.45799999999999996,18.24,18.9,01a58061o0707o
2,58061.531262000004,-18.855999999999998,0.462,-104,48,o,0,0.93,136.75017,16.674529999999997,6775.88,9044.58,3.01,2.76,-78.2,-0.474,18.31,18.94,01a58061o0718o
3,58061.536772,-18.938,0.466,-96,45,o,0,1.28,136.75017,16.674529999999997,6799.08,8938.04,2.93,2.74,-75.1,-0.47600000000000003,18.35,18.97,01a58061o0730o
4,58065.642515,-19.406,0.653,-63,41,o,0,1.01,136.75017,16.674529999999997,4855.21,7530.13,3.02,2.81,-82.3,-0.451,18.09,19.21,01a58065o0903o
5,58065.65298200001,18.515,1.36,142,194,o,0,1.18,136.75017,16.674529999999997,4840.7,7451.77,2.97,2.86,-78.7,-0.507,17.65,17.89,01a58065o0920o
6,58071.637151,21.214000000000002,0.816,12,10,c,0,1.01,136.75017,16.674529999999997,9687.57,9836.84,2.5,2.34,4.8,-0.445,19.77,21.3,02a58071o0752c
7,58071.63944299999,-21.828000000000003,1.604,-7,11,c,0,0.82,136.75017,16.674529999999997,7006.56,113.03,2.8,2.43,48.6,-0.43700000000000006,19.73,21.3,02a58071o0756c
8,58071.646615,24.934,30.333000000000002,0,12,c,0,1.24,136.75017,16.674529999999997,9705.46,9878.07,2.56,2.4,-3.1,-0.45,19.61,21.07,02a58071o0770c
9,58071.648778999996,-22.671,3.727,-3,12,c,0,1.36,136.75017,16.674529999999997,7024.1,153.57,2.81,2.42,51.4,-0.449,19.55,20.86,02a58071o0774c
10,58071.655344000006,-21.174,2.204,-12,27,c,0,0.96,136.75017,16.674529999999997,9647.01,9800.02,2.52,2.41,1.7,-0.449,18.79,19.64,02a58071o0787c
11,58071.657591999996,0.0,19.752,0,46,c,0,0.83,136.75017,16.674529999999997,6968.72,77.82,2.78,2.46,46.3,-0.483,18.26,19.03,02a58071o0791c
12,58073.612109,-19.407,0.23600000000000002,-63,15,o,0,0.94,136.75017,16.674529999999997,5189.08,9330.67,3.32,2.67,-76.7,-0.45799999999999996,19.35,20.97,01a58073o0859o
13,58073.622923,-20.131,0.436,-32,14,o,0,1.09,136.75017,16.674529999999997,5176.39,9252.91,3.32,2.66,-78.7,-0.45399999999999996,19.33,20.97,01a58073o0877o
14,58073.633028,-19.879,0.353,-41,14,o,0,0.87,136.75017,16.674529999999997,5238.55,9292.54,3.37,2.73,-78.8,-0.451,19.33,20.99,01a58073o0894o
15,58073.645795000004,-19.774,0.33,-45,15,o,0,1.0,136.75017,16.674529999999997,5264.51,9129.11,3.39,2.79,-81.7,-0.44299999999999995,19.26,20.81,01a58073o0912o
16,58075.636641,-21.261,0.7020000000000001,-11,8,c,0,1.65,136.75017,16.674529999999997,6976.52,1178.33,2.64,2.42,47.8,-0.425,19.65,21.27,02a58075o0803c
