,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58035.40689,-10.690999999999999,0.767,-192098,147363,o,0,1.23,357.56288,22.55551,3557.43,9920.08,20.3,4.52,-1.3,-0.136,10.46,10.82,02a58035o0403o
1,58035.424025,0.0,0.0,0,0,o,0,-0.0,357.56288,22.55551,3431.48,256.88,5.27,5.18,0.0,-0.23600000000000002,12.18,12.96,02a58035o0433o
2,58035.425425,-19.278,21.175,-71,1494,o,0,0.92,357.56288,22.55551,3592.84,9958.69,2.26,2.14,-45.7,-0.35600000000000004,14.73,14.58,02a58035o0436o
3,58035.43582100001,-21.656999999999996,35.786,-8,282,o,0,1.07,357.56288,22.55551,3612.91,9842.09,2.23,2.06,-32.1,-0.46399999999999997,15.75,15.67,02a58035o0455o
4,58035.437189,-18.918,1.733,-98,170,o,0,1.35,357.56288,22.55551,3451.55,141.64,1.94,1.79,70.4,-0.35100000000000003,15.74,15.66,02a58035o0458o
5,58045.38561799999,-20.74,0.777,-18,14,o,0,1.05,357.56288,22.55551,5281.1,8939.94,3.04,2.73,-79.6,-0.456,19.31,20.95,01a58045o0403o
6,58045.389393,-20.23,0.442,-29,13,o,0,1.46,357.56288,22.55551,5319.02,8993.96,3.01,2.77,-84.5,-0.451,19.32,20.95,01a58045o0411o
7,58045.403049,-22.541999999999998,4.235,-4,15,o,0,1.09,357.56288,22.55551,5253.66,8970.54,3.15,2.86,-85.7,-0.43700000000000006,19.27,20.92,01a58045o0438o
8,58045.410425,-21.000999999999998,0.9440000000000001,-14,14,o,0,1.31,357.56288,22.55551,5240.83,9117.72,3.19,2.9,-82.4,-0.44799999999999995,19.28,20.9,01a58045o0452o
9,58049.3912,-21.147,1.574,-13,20,o,0,1.18,357.56288,22.55551,6607.35,2006.82,3.2,3.0,-76.8,-0.434,18.91,20.32,01a58049o0168o
10,58049.400438,-20.372,0.602,-26,16,o,0,1.16,357.56288,22.55551,6632.05,2080.98,3.2,3.0,-85.6,-0.435,19.17,20.55,01a58049o0187o
11,58049.41012000001,-21.093000000000004,1.176,-13,16,o,0,0.99,357.56288,22.55551,6585.32,2043.52,3.06,2.9,-83.7,-0.439,19.21,20.53,01a58049o0208o
12,58049.419002999995,21.628,1.61,8,13,o,0,2.08,357.56288,22.55551,6574.45,2193.86,3.1,2.85,-83.1,-0.435,19.17,20.56,01a58049o0226o
13,58053.366228,-20.455,0.552,-24,13,o,0,1.78,357.56288,22.55551,6526.12,10254.75,3.25,2.83,-83.6,-0.45799999999999996,19.2,20.65,01a58053o0303o
14,58053.370479,24.163,20.25,1,16,o,0,1.15,357.56288,22.55551,6547.48,10311.79,3.14,2.72,-83.6,-0.467,19.22,20.64,01a58053o0312o
15,58053.371858000006,20.308,0.565,27,15,o,0,1.36,357.56288,22.55551,6264.59,586.53,3.03,2.96,49.7,-0.457,19.1,20.66,01a58053o0315o
16,58053.380992,-19.548,0.293,-55,16,o,0,1.07,357.56288,22.55551,6233.01,583.54,3.16,3.0,89.8,-0.434,19.17,20.53,01a58053o0333o
17,58053.381910000004,-20.064,0.387,-34,13,o,0,1.51,357.56288,22.55551,6288.34,664.81,3.11,2.9,-85.9,-0.44,19.2,20.53,01a58053o0335o
18,58053.383280999995,-20.441,0.6779999999999999,-24,16,o,0,1.08,357.56288,22.55551,6499.89,10284.02,3.27,2.8,-85.0,-0.46,19.16,20.53,01a58053o0338o
19,58053.390866999995,-20.230999999999998,0.527,-29,16,o,0,1.45,357.56288,22.55551,6488.1,10433.85,3.19,2.76,-81.1,-0.462,19.2,20.54,01a58053o0353o
20,58053.39224,-22.252,3.182,-5,14,o,0,1.16,357.56288,22.55551,6223.54,747.07,3.21,2.96,-83.6,-0.435,19.15,20.56,01a58053o0356o
21,58055.366736,-20.673000000000002,0.738,-20,14,o,0,1.4,357.56288,22.55551,6451.08,8463.64,2.08,1.93,-19.5,-0.496,19.46,20.23,02a58055o0376o
22,58055.377084,20.548000000000002,0.561,22,12,o,0,1.6,357.56288,22.55551,6432.58,8423.66,2.03,1.94,-26.0,-0.475,19.48,20.26,02a58055o0397o
23,58055.387348000004,-20.56,0.496,-22,11,o,0,2.46,357.56288,22.55551,6486.87,8522.17,2.06,1.96,-27.7,-0.47100000000000003,19.46,20.26,02a58055o0416o
24,58055.39706,-21.482,1.216,-9,11,o,0,1.31,357.56288,22.55551,6503.94,8404.32,2.01,1.92,-20.1,-0.48,19.48,20.24,02a58055o0436o
25,58057.383173,20.974,1.587,15,24,o,0,1.15,357.56288,22.55551,5480.23,9708.22,3.34,3.26,81.6,-0.42200000000000004,18.63,19.74,01a58057o0023o
26,58057.39242999999,-21.041999999999998,1.784,-14,25,o,0,0.9,357.56288,22.55551,5524.59,9784.06,2.96,2.85,-87.7,-0.456,18.74,19.72,01a58057o0041o
27,58057.394287,20.073,0.7390000000000001,34,25,o,0,1.25,357.56288,22.55551,5298.53,100.18,3.51,3.33,-0.9,-0.38799999999999996,18.58,19.59,01a58057o0045o
28,58057.401226999995,21.659000000000002,3.025,8,24,o,0,1.04,357.56288,22.55551,5460.83,9740.28,3.07,2.87,-79.9,-0.45299999999999996,18.69,19.72,01a58057o0058o
29,58057.40620499999,25.12,135.0,0,44,o,0,0.75,357.56288,22.55551,5254.66,68.04,4.02,3.95,16.9,-0.375,18.39,19.59,01a58057o0068o
30,58057.408061,-20.214000000000002,0.78,-30,23,o,0,1.19,357.56288,22.55551,5449.45,9883.81,3.49,3.27,-84.6,-0.444,18.57,19.7,01a58057o0072o
31,58057.416385000004,20.457,1.136,24,27,o,0,0.95,357.56288,22.55551,5248.6,225.23,3.3,3.25,78.9,-0.406,18.58,19.53,01a58057o0090o
32,58059.362429999994,19.885,0.633,40,26,o,0,0.84,357.56288,22.55551,5507.33,1342.42,2.06,1.95,77.4,-0.44799999999999995,18.67,18.68,02a58059o0225o
33,58059.372228,-19.473,0.431,-59,25,o,0,1.15,357.56288,22.55551,5491.71,1302.7,2.05,1.93,66.2,-0.45899999999999996,18.67,18.69,02a58059o0242o
34,58059.379651999996,-20.4,0.9209999999999999,-25,23,o,0,0.78,357.56288,22.55551,5564.19,1378.29,2.01,1.92,-86.1,-0.43200000000000005,18.65,18.66,02a58059o0257o
35,58059.39090499999,-20.689,1.338,-19,26,o,0,1.14,357.56288,22.55551,5583.72,1262.5,2.05,1.96,71.9,-0.433,18.62,18.62,02a58059o0279o
36,58061.354962,22.105999999999998,5.625,5,29,o,0,1.16,357.56288,22.55551,3257.55,9917.17,2.89,2.49,-88.5,-0.485,18.45,19.12,01a58061o0359o
37,58061.357751999996,22.461,8.0,4,30,o,0,1.19,357.56288,22.55551,3277.49,9968.5,2.66,2.43,-76.6,-0.506,18.5,19.12,01a58061o0365o
38,58061.359175,-20.493000000000002,1.182,-23,27,o,0,1.2,357.56288,22.55551,3118.71,233.86,2.94,2.89,22.6,-0.405,18.4,19.12,01a58061o0368o
39,58061.35963200001,-19.337,0.39899999999999997,-67,27,o,0,1.37,357.56288,22.55551,3137.66,274.82,2.9,2.82,13.5,-0.40299999999999997,18.43,19.11,01a58061o0369o
40,58061.369026,-20.081,0.7909999999999999,-34,27,o,0,1.39,357.56288,22.55551,3088.23,232.99,2.88,2.82,44.6,-0.408,18.4,19.09,01a58061o0387o
41,58061.3704,-20.559,1.1909999999999998,-22,26,o,0,1.29,357.56288,22.55551,3230.53,9939.43,2.74,2.51,-80.9,-0.49700000000000005,18.46,19.1,01a58061o0390o
42,58061.377214,-21.764,3.234,-7,23,o,0,2.03,357.56288,22.55551,3217.08,10085.14,2.66,2.45,-83.7,-0.495,18.44,19.07,01a58061o0404o
43,58061.379046,24.284000000000002,41.25,1,29,o,0,1.07,357.56288,22.55551,3060.92,390.96,2.93,2.8,28.2,-0.41200000000000003,18.41,19.03,01a58061o0408o
44,58063.371699,-20.233,0.51,-29,15,o,0,1.55,357.56288,22.55551,4131.71,2062.65,2.11,1.99,-62.2,-0.431,19.13,19.73,02a58063o0342o
45,58063.380732000005,-21.259,1.4880000000000002,-11,17,o,0,1.03,357.56288,22.55551,4097.15,2024.75,2.05,1.96,-75.1,-0.434,19.1,19.66,02a58063o0359o
46,58063.38995599999,-20.024,0.48100000000000004,-36,17,o,0,1.17,357.56288,22.55551,4169.68,2101.87,2.12,2.0,-64.0,-0.431,19.13,19.7,02a58063o0376o
47,58063.394201999996,-20.96,0.753,-15,11,o,0,2.09,357.56288,22.55551,4188.0,1983.62,2.13,2.03,-71.7,-0.42100000000000004,19.11,19.7,02a58063o0385o
48,58065.353214999996,-13.767000000000001,1.876,-11299,21196,o,0,0.93,357.56288,22.55551,5094.83,1441.86,3.1,2.94,3.2,-0.5429999999999999,12.43,12.95,01a58065o0353o
49,58065.358198,-17.865,0.37799999999999995,-259,98,o,0,1.17,357.56288,22.55551,5041.72,1383.28,3.11,2.91,5.9,-0.436,16.82,17.53,01a58065o0362o
50,58065.370091,19.894000000000002,2.426,40,97,o,0,0.76,357.56288,22.55551,5033.7,1548.53,3.1,3.0,-0.2,-0.435,17.24,17.86,01a58065o0386o
51,58067.344833,-23.111,8.286,-2,17,o,0,0.88,357.56288,22.55551,4723.51,9684.81,2.36,2.17,12.7,-0.473,19.26,20.37,02a58067o0337o
52,58067.354655999996,-22.339000000000002,5.182,-4,22,o,0,1.17,357.56288,22.55551,4707.75,9646.04,2.24,2.04,8.1,-0.483,18.85,19.87,02a58067o0354o
53,58067.364539,18.894000000000002,0.6629999999999999,100,67,o,0,1.56,357.56288,22.55551,4761.67,9724.15,2.3,2.13,12.8,-0.489,17.55,18.57,02a58067o0371o
54,58067.374145,-21.49,2.2,-9,20,o,0,1.86,357.56288,22.55551,4779.37,9605.43,2.2,1.97,10.2,-0.483,18.64,19.65,02a58067o0389o
55,58071.344614,-24.324,11.8,-1,8,c,0,1.63,357.56288,22.55551,3464.89,2332.24,2.73,2.37,43.3,-0.42,19.74,21.55,02a58071o0243c
56,58071.359129,-22.971,3.471,-2,8,c,0,0.97,357.56288,22.55551,3447.65,2294.93,2.74,2.34,41.2,-0.42700000000000005,19.7,21.54,02a58071o0272c
57,58071.365825,21.041999999999998,0.535,14,7,c,0,1.72,357.56288,22.55551,3520.14,2370.52,2.75,2.37,38.4,-0.42,19.72,21.53,02a58071o0286c
58,58071.378491999996,20.269000000000002,0.29600000000000004,28,8,c,0,1.47,357.56288,22.55551,3539.64,2254.57,2.75,2.36,34.8,-0.428,19.7,21.51,02a58071o0310c
59,58073.32458099999,-20.164,0.361,-31,11,o,0,1.57,357.56288,22.55551,4947.5,9283.03,3.13,2.59,-82.1,-0.47,19.36,21.08,01a58073o0303o
60,58073.334432,-20.215999999999998,0.441,-30,13,o,0,1.36,357.56288,22.55551,4971.14,9361.8,3.37,2.73,-81.9,-0.456,19.37,21.14,01a58073o0321o
61,58073.3435,-20.55,0.6409999999999999,-22,14,o,0,1.22,357.56288,22.55551,4922.9,9320.27,3.47,2.77,-82.8,-0.44799999999999995,19.41,21.17,01a58073o0338o
62,58073.356303,21.426,1.3559999999999999,10,13,o,0,1.31,357.56288,22.55551,4897.19,9488.3,3.49,2.81,-81.2,-0.447,19.37,21.15,01a58073o0362o
63,58075.34171,21.741999999999997,1.038,7,8,c,0,1.39,357.56288,22.55551,3480.93,1278.43,2.79,2.32,42.0,-0.441,19.77,21.64,02a58075o0247c
64,58075.350876,21.758000000000003,1.204,7,9,c,0,1.51,357.56288,22.55551,3464.67,1239.81,2.85,2.37,44.2,-0.441,19.76,21.53,02a58075o0265c
65,58075.35965,-21.682,1.189,-8,9,c,0,1.1,357.56288,22.55551,3520.59,1316.5,2.83,2.36,42.6,-0.439,19.73,21.51,02a58075o0284c
66,58075.367194000006,-21.793000000000003,1.104,-7,8,c,0,1.28,357.56288,22.55551,3557.5,1198.13,2.82,2.33,42.3,-0.445,19.76,21.5,02a58075o0300c
