,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57779.516058,17.834,0.059000000000000004,267,16,c,0,0.93,153.20775,-18.11273,6902.79,5381.07,3.84,3.62,88.7,-0.396,19.79,21.87,02a57779o0580c
1,57779.531522000005,17.926,0.059000000000000004,245,14,c,0,1.05,153.20775,-18.11273,6885.74,5345.12,3.82,3.6,88.7,-0.395,19.8,21.89,02a57779o0610c
2,57779.547567999994,18.02,0.067,225,15,c,0,1.14,153.20775,-18.11273,6960.94,5423.86,3.99,3.91,11.6,-0.384,19.72,21.85,02a57779o0641c
3,57779.563064,18.06,0.07200000000000001,217,16,c,0,1.14,153.20775,-18.11273,6980.34,5307.86,3.83,3.65,88.9,-0.389,19.76,21.81,02a57779o0671c
4,57779.5786,17.901,0.068,251,17,c,0,0.81,153.20775,-18.11273,6945.26,5365.51,3.87,3.85,-86.3,-0.382,19.73,21.84,02a57779o0701c
5,57783.511706,18.155,0.07200000000000001,199,14,c,0,1.21,153.20775,-18.11273,5986.98,3563.15,3.8,3.7,83.0,-0.387,19.76,21.87,02a57783o0564c
6,57783.52678200001,18.205,0.07,190,13,c,0,1.56,153.20775,-18.11273,5969.48,3526.52,3.87,3.78,87.2,-0.382,19.74,21.88,02a57783o0593c
7,57783.542892,18.274,0.087,178,15,c,0,0.99,153.20775,-18.11273,6026.85,3604.53,3.86,3.85,-24.1,-0.39,19.71,21.84,02a57783o0624c
8,57783.558517,18.324,0.092,170,16,c,0,1.23,153.20775,-18.11273,6047.94,3488.22,4.15,4.07,-21.8,-0.369,19.65,21.85,02a57783o0654c
9,57783.574626999995,18.288,0.09300000000000001,176,16,c,0,0.79,153.20775,-18.11273,6012.68,3545.84,3.86,3.83,-61.3,-0.38,19.74,21.9,02a57783o0685c
10,57787.481199,18.532,0.09699999999999999,140,14,c,0,1.37,153.20775,-18.11273,5167.31,2362.17,3.92,3.85,77.1,-0.38299999999999995,19.78,21.96,02a57787o0511c
11,57787.494059000004,18.373,0.094,162,15,c,0,1.06,153.20775,-18.11273,5151.49,2321.25,3.94,3.82,85.8,-0.382,19.79,21.96,02a57787o0537c
12,57787.509214,18.357,0.085,165,14,c,0,1.02,153.20775,-18.11273,5223.79,2401.65,3.82,3.74,83.9,-0.38799999999999996,19.83,21.98,02a57787o0568c
13,57787.523441,18.428,0.098,154,15,c,0,1.07,153.20775,-18.11273,5244.56,2287.64,3.78,3.7,-88.4,-0.39,19.84,21.97,02a57787o0596c
