,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57735.342589,-19.314,0.762,-68,52,o,0,1.13,45.385,-15.015989999999999,2112.0,359.24,3.94,3.64,-16.5,-0.434,18.21,18.79,02a57735o0197o
1,57735.346704999996,-20.078,1.847,-34,62,o,0,1.38,45.385,-15.015989999999999,3187.14,10139.06,3.82,3.32,10.5,-0.41600000000000004,18.2,18.78,02a57735o0205o
2,57735.35546,-21.601,6.6,-8,55,o,0,1.21,45.385,-15.015989999999999,2093.84,320.15,4.18,3.88,-17.2,-0.40399999999999997,18.12,18.76,02a57735o0222o
3,57735.360111,21.789,10.158,7,71,o,0,1.29,45.385,-15.015989999999999,3169.57,10099.36,3.84,3.54,19.7,-0.41700000000000004,18.14,18.75,02a57735o0231o
4,57735.368332000005,19.18,0.72,77,56,o,0,1.0,45.385,-15.015989999999999,2153.54,402.52,3.94,3.7,-24.8,-0.445,18.17,18.72,02a57735o0247o
5,57735.373501,-24.25,105.0,-1,76,o,0,1.15,45.385,-15.015989999999999,3227.92,10177.65,3.87,3.45,10.1,-0.447,18.14,18.72,02a57735o0257o
6,57735.381702,-19.778,1.239,-44,55,o,0,1.01,45.385,-15.015989999999999,2173.65,284.04,3.99,3.7,-22.5,-0.425,18.15,18.69,02a57735o0273o
7,57735.386354999995,-21.301,6.419,-11,70,o,0,1.37,45.385,-15.015989999999999,3249.02,10060.99,3.77,3.36,8.7,-0.41100000000000003,18.14,18.69,02a57735o0282o
8,57735.39404199999,-19.847,1.505,-42,63,o,0,1.01,45.385,-15.015989999999999,2137.05,341.93,4.39,3.9,-12.1,-0.39399999999999996,18.06,18.67,02a57735o0297o
9,57735.399197000006,-20.570999999999998,3.603,-22,77,o,0,1.14,45.385,-15.015989999999999,3211.71,10119.94,3.88,3.48,9.2,-0.41600000000000004,18.07,18.66,02a57735o0307o
10,57743.375798,20.434,0.922,24,22,o,0,1.12,45.385,-15.015989999999999,2185.22,8860.01,3.8,3.67,33.1,-0.445,19.17,20.77,02a57743o0375o
11,57743.38819500001,-20.236,0.797,-29,23,o,0,0.95,45.385,-15.015989999999999,2168.26,8819.33,3.76,3.6,29.0,-0.442,19.19,20.8,02a57743o0399o
12,57743.401677,-19.570999999999998,0.42100000000000004,-54,23,o,0,1.16,45.385,-15.015989999999999,2224.62,8897.4,4.12,4.01,39.6,-0.423,19.12,20.84,02a57743o0425o
13,57743.414688,-19.393,0.40299999999999997,-64,26,o,0,1.18,45.385,-15.015989999999999,2247.52,8777.25,4.6,4.46,14.7,-0.38299999999999995,19.0,20.85,02a57743o0450o
14,57743.427108,20.915,1.8459999999999999,16,29,o,0,0.99,45.385,-15.015989999999999,2212.27,8833.74,4.96,4.63,5.0,-0.384,18.92,20.8,02a57743o0474o
15,57747.315124,-18.743,1.784,-116,206,c,0,0.01,45.385,-15.015989999999999,572.3,53.36,4.58,4.53,-17.2,-0.345,19.58,21.7,02a57747o0258c
16,57747.317138,21.118000000000002,1.367,13,18,c,0,1.19,45.385,-15.015989999999999,1642.15,9854.08,4.6,4.11,18.6,-0.39799999999999996,19.56,21.67,02a57747o0262c
17,57747.32868200001,-19.402,0.29600000000000004,-63,19,c,0,1.03,45.385,-15.015989999999999,10277.75,81.49,4.27,4.15,61.7,-0.43200000000000005,19.6,21.65,02a57747o0285c
18,57747.329691,-21.017,1.25,-14,18,c,0,0.93,45.385,-15.015989999999999,1605.2,9814.21,4.55,4.25,27.7,-0.39799999999999996,19.52,21.61,02a57747o0287c
19,57747.34024,21.241,1.5830000000000002,12,18,c,0,0.96,45.385,-15.015989999999999,611.72,95.75,4.82,4.52,-3.7,-0.33299999999999996,19.5,21.59,02a57747o0308c
20,57747.341259,17.868,0.8009999999999999,259,207,c,0,0.3,45.385,-15.015989999999999,10258.98,45.05,4.26,4.15,70.7,-0.445,19.56,21.61,02a57747o0310c
21,57747.342785,-21.855,2.929,-7,19,c,0,1.0,45.385,-15.015989999999999,1680.23,9894.38,4.83,4.27,12.6,-0.38,19.45,21.56,02a57747o0313c
22,57747.353795,-19.781,0.47100000000000003,-44,21,c,0,1.25,45.385,-15.015989999999999,10316.73,123.04,4.98,4.58,4.5,-0.384,19.44,21.58,02a57747o0335c
23,57747.355301999996,-19.617,0.363,-52,19,c,0,1.13,45.385,-15.015989999999999,1703.06,9775.07,4.73,4.2,15.2,-0.396,19.45,21.53,02a57747o0338c
24,57747.36536900001,16.574,0.28600000000000003,852,244,c,0,0.42,45.385,-15.015989999999999,597.8,36.03,5.24,4.4,-0.6,-0.341,19.43,21.51,02a57747o0358c
25,57747.36787,-19.846,0.429,-42,18,c,0,1.1,45.385,-15.015989999999999,1666.9,9834.12,4.73,4.29,16.6,-0.379,19.43,21.49,02a57747o0363c
26,57747.379363,-20.761,1.317,-18,24,c,0,0.96,45.385,-15.015989999999999,10303.31,65.44,4.52,4.06,5.0,-0.42200000000000004,19.51,21.54,02a57747o0386c
27,57755.298308000005,-19.742,0.312,-46,14,c,0,1.37,45.385,-15.015989999999999,2773.82,1410.8,3.93,3.83,-37.3,-0.414,19.72,21.72,02a57755o0209c
28,57755.311760000004,-20.16,0.43700000000000006,-31,14,c,0,1.34,45.385,-15.015989999999999,2756.77,1370.99,3.93,3.83,-28.3,-0.41200000000000003,19.74,21.77,02a57755o0233c
29,57755.325461,-22.768,4.875,-3,14,c,0,1.53,45.385,-15.015989999999999,2813.86,1448.73,3.89,3.82,-51.2,-0.409,19.75,21.75,02a57755o0257c
30,57755.338585000005,-20.552,0.7,-22,15,c,0,1.05,45.385,-15.015989999999999,2835.02,1332.82,3.92,3.83,-25.8,-0.409,19.72,21.71,02a57755o0281c
31,57755.351558,21.197,1.273,12,15,c,0,1.14,45.385,-15.015989999999999,2799.89,1389.5,3.94,3.84,-38.8,-0.40299999999999997,19.69,21.65,02a57755o0306c
32,57763.32290399999,19.749000000000002,1.097,46,50,o,0,1.32,45.385,-15.015989999999999,1524.74,9635.29,3.49,3.02,5.0,-0.493,18.42,19.19,02a57763o0141o
33,57763.334766,20.939,3.2039999999999997,15,49,o,0,1.18,45.385,-15.015989999999999,1487.37,9690.41,3.45,3.01,9.4,-0.5,18.42,19.14,02a57763o0164o
34,57767.25754199999,18.314,0.18600000000000003,172,32,o,0,1.25,45.385,-15.015989999999999,3722.01,9527.06,3.78,3.57,42.7,-0.42700000000000005,18.78,19.93,02a57767o0103o
35,57767.269877,18.16,0.187,198,37,o,0,1.01,45.385,-15.015989999999999,3684.27,9489.89,3.75,3.45,19.6,-0.423,18.7,19.78,02a57767o0125o
36,57767.282117999996,18.230999999999998,0.188,185,35,o,0,1.27,45.385,-15.015989999999999,3760.84,9569.51,3.68,3.38,14.2,-0.41200000000000003,18.67,19.71,02a57767o0147o
37,57767.29225499999,17.999000000000002,0.158,229,36,o,0,1.39,45.385,-15.015989999999999,3782.37,9451.03,3.7,3.52,20.5,-0.413,18.64,19.65,02a57767o0167o
38,57767.303995,17.963,0.159,237,38,o,0,1.21,45.385,-15.015989999999999,3746.32,9511.33,3.58,3.32,9.1,-0.41,18.62,19.57,02a57767o0190o
39,57771.276334,17.289,0.055,441,24,o,0,1.55,45.385,-15.015989999999999,1517.69,8187.82,3.49,3.28,27.4,-0.455,19.08,20.44,02a57771o0159o
40,57771.287741,17.141,0.054000000000000006,506,27,o,0,1.09,45.385,-15.015989999999999,1501.6,8146.43,3.46,3.24,27.6,-0.45799999999999996,19.07,20.4,02a57771o0181o
41,57771.299783,17.267,0.063,450,28,o,0,1.13,45.385,-15.015989999999999,1560.17,8223.22,4.25,3.37,6.8,-0.461,18.93,20.42,02a57771o0204o
42,57771.312793,17.158,0.059000000000000004,497,29,o,0,1.06,45.385,-15.015989999999999,1580.8,8106.67,4.48,3.42,5.4,-0.45299999999999996,18.89,20.4,02a57771o0229o
43,57771.325904,17.409000000000002,0.071,395,28,o,0,1.11,45.385,-15.015989999999999,1544.14,8162.33,3.88,3.31,11.3,-0.46399999999999997,18.99,20.41,02a57771o0254o
44,57779.259744,16.558,0.022000000000000002,864,19,c,0,1.31,45.385,-15.015989999999999,2256.13,1746.09,4.21,4.03,81.1,-0.366,19.67,21.74,02a57779o0088c
45,57779.271742,16.551,0.021,870,18,c,0,1.39,45.385,-15.015989999999999,2238.56,1705.95,4.19,4.04,83.2,-0.369,19.65,21.73,02a57779o0111c
46,57779.283678,16.567999999999998,0.022000000000000002,857,19,c,0,1.25,45.385,-15.015989999999999,2298.18,1786.52,4.29,4.15,8.1,-0.36,19.62,21.72,02a57779o0134c
47,57779.295633,16.546,0.021,874,19,c,0,1.22,45.385,-15.015989999999999,2320.21,1667.6,4.52,4.05,4.1,-0.36,19.59,21.7,02a57779o0157c
48,57779.30869400001,16.523,0.023,893,20,c,0,1.15,45.385,-15.015989999999999,2285.54,1723.42,4.67,4.05,2.1,-0.358,19.56,21.68,02a57779o0182c
49,57783.256637,16.593,0.026000000000000002,837,22,c,0,1.45,45.385,-15.015989999999999,2385.03,9675.76,3.97,3.51,19.4,-0.419,19.58,21.6,02a57783o0080c
50,57783.267497,16.615,0.026000000000000002,821,21,c,0,1.16,45.385,-15.015989999999999,2367.52,9634.71,3.95,3.59,21.7,-0.419,19.6,21.6,02a57783o0101c
51,57783.279977,16.523,0.024,893,22,c,0,1.1,45.385,-15.015989999999999,2426.21,9712.3,3.97,3.63,19.8,-0.408,19.59,21.61,02a57783o0125c
52,57783.293014999996,16.57,0.024,855,21,c,0,1.35,45.385,-15.015989999999999,2468.26,9591.72,4.13,3.64,6.4,-0.408,19.55,21.57,02a57783o0150c
53,57783.306688,16.572,0.026000000000000002,853,22,c,0,1.23,45.385,-15.015989999999999,2413.73,9647.59,3.97,3.78,14.3,-0.41200000000000003,19.54,21.52,02a57783o0176c
54,57787.223555,17.246,1.068,459,490,c,0,1.18,45.385,-15.015989999999999,1578.36,8458.88,4.05,3.63,22.9,-0.46299999999999997,16.92,17.5,02a57787o0010c
55,57787.22982000001,16.735,0.552,735,406,c,0,1.03,45.385,-15.015989999999999,1559.07,8420.36,4.0,3.58,26.0,-0.452,17.16,17.79,02a57787o0023c
56,57787.23860599999,16.636,0.154,805,124,c,0,1.14,45.385,-15.015989999999999,1614.48,8498.54,3.93,3.57,25.2,-0.43799999999999994,17.94,18.81,02a57787o0041c
57,57787.250012000004,16.813,0.043,684,29,c,0,1.68,45.385,-15.015989999999999,1635.37,8384.76,4.3,3.8,21.3,-0.418,18.87,20.3,02a57787o0064c
58,57795.224192999995,18.090999999999998,0.486,211,102,o,0,1.07,45.385,-15.015989999999999,9497.55,10252.01,3.97,3.48,84.9,-0.648,18.17,19.24,01a57795o0018o
59,57795.224538,16.067999999999998,1.222,1358,1659,o,0,1.1,45.385,-15.015989999999999,1128.66,178.7,5.3,3.97,-1.9,-0.35200000000000004,14.54,14.56,02a57795o0018o
60,57795.230017999995,17.87,0.26899999999999996,258,70,o,0,1.27,45.385,-15.015989999999999,8270.02,485.65,4.47,3.53,32.2,-0.602,18.2,19.33,01a57795o0029o
61,57795.230190999995,18.624000000000002,7.252000000000001,129,935,o,0,1.99,45.385,-15.015989999999999,2189.65,9968.91,3.56,2.92,9.2,-0.445,16.08,16.22,02a57795o0029o
62,57795.233388,13.294,0.8759999999999999,17474,15309,o,0,1.0,45.385,-15.015989999999999,1108.03,137.82,36.37,1.4,-1.8,-0.556,14.03,13.82,02a57795o0035o
63,57795.241333000005,19.355,9.541,66,627,o,0,1.48,45.385,-15.015989999999999,2172.07,9929.28,3.88,3.24,18.9,-0.461,17.1,17.75,02a57795o0050o
64,57795.24156,17.253,0.198,456,90,o,0,1.1,45.385,-15.015989999999999,8288.56,524.55,4.75,4.0,37.1,-0.5770000000000001,18.1,19.26,01a57795o0051o
65,57795.245404999994,17.024,0.307,563,173,o,0,1.26,45.385,-15.015989999999999,1168.54,216.34,5.24,4.09,1.5,-0.376,17.03,17.9,02a57795o0058o
66,57795.24578,16.425,0.532,978,520,o,0,1.03,45.385,-15.015989999999999,9458.39,10211.17,3.88,3.56,-83.7,-0.662,16.49,17.77,01a57795o0059o
67,57795.255490999996,17.456,0.52,378,197,o,0,1.65,45.385,-15.015989999999999,2229.79,10006.09,4.19,3.4,9.6,-0.46399999999999997,16.87,17.37,02a57795o0077o
68,57795.260719000005,17.221,0.13699999999999998,470,64,o,0,1.07,45.385,-15.015989999999999,1189.34,96.06,5.54,4.34,1.9,-0.37200000000000005,17.97,18.9,02a57795o0087o
