,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57745.544689999995,-23.45,9.2,-2,14,c,0,1.02,142.6525,21.41183,4580.0,7642.54,3.57,3.56,-21.4,-0.449,19.64,21.51,02a57745o0656c
1,57745.554496000004,-22.73,4.8,-3,14,c,0,1.15,142.6525,21.41183,4614.67,7685.23,3.53,3.48,-29.1,-0.45899999999999996,19.63,21.48,02a57745o0673c
2,57745.564677999995,-20.976,1.109,-15,16,c,0,0.8,142.6525,21.41183,5971.55,2839.77,3.86,3.67,88.8,-0.38299999999999995,19.61,21.46,02a57745o0688c
3,57745.576175,21.926,2.474,6,15,c,0,0.85,142.6525,21.41183,5989.69,2724.08,3.89,3.69,-86.8,-0.376,19.6,21.45,02a57745o0708c
4,57745.59152,-20.663,0.6940000000000001,-20,14,c,0,1.0,142.6525,21.41183,5951.7,2784.64,3.86,3.67,-89.2,-0.37799999999999995,19.6,21.44,02a57745o0732c
5,57753.524769,-19.852999999999998,0.9790000000000001,-42,41,c,0,1.1,142.6525,21.41183,6938.55,6910.35,3.74,3.51,89.7,-0.413,18.55,20.44,02a57753o0502c
6,57753.533794,19.595,0.883,53,47,c,0,1.05,142.6525,21.41183,6972.24,6952.52,3.74,3.52,87.6,-0.41700000000000004,18.5,20.37,02a57753o0518c
7,57753.555348,19.384,0.736,64,47,c,0,1.12,142.6525,21.41183,3617.31,3455.67,3.76,3.65,-89.9,-0.386,18.74,20.65,02a57753o0555c
8,57753.568355999996,-18.037,0.531,-221,118,c,0,0.74,142.6525,21.41183,3585.59,3520.89,3.79,3.69,-88.0,-0.386,17.4,19.22,02a57753o0576c
9,57757.512451999995,21.054000000000002,1.085,14,15,c,0,0.84,142.6525,21.41183,4575.34,6865.48,3.53,3.49,-82.9,-0.439,19.73,21.63,02a57757o0582c
10,57757.52654199999,20.529,0.763,22,17,c,0,0.73,142.6525,21.41183,4588.9,6908.39,3.54,3.52,-81.3,-0.431,19.73,21.64,02a57757o0605c
11,57757.54076900001,20.204,0.43,30,13,c,0,0.87,142.6525,21.41183,5969.75,3615.63,3.76,3.54,88.0,-0.381,19.74,21.66,02a57757o0630c
12,57757.553353999996,20.75,0.8,18,15,c,0,0.92,142.6525,21.41183,6006.65,3501.48,3.77,3.56,88.9,-0.384,19.74,21.66,02a57757o0650c
13,57757.564274000004,20.521,0.653,22,15,c,0,0.81,142.6525,21.41183,5952.35,3559.82,3.73,3.54,88.1,-0.384,19.74,21.64,02a57757o0669c
14,57761.479355999996,20.208,0.8370000000000001,30,25,o,0,0.91,142.6525,21.41183,6023.27,5651.2,3.43,3.24,-69.9,-0.46799999999999997,19.02,20.21,02a57761o0492o
15,57761.494816,20.317,0.782,27,21,o,0,1.12,142.6525,21.41183,6037.63,5693.04,3.46,3.3,-69.0,-0.46,19.05,20.29,02a57761o0516o
16,57761.510997000005,19.783,0.536,44,24,o,0,1.15,142.6525,21.41183,5965.37,5617.21,3.47,3.33,-75.4,-0.456,19.11,20.4,02a57761o0542o
17,57761.521372,19.514,0.354,57,20,o,0,1.14,142.6525,21.41183,5947.14,5734.66,3.52,3.37,-77.9,-0.44799999999999995,19.13,20.48,02a57761o0558o
18,57761.53408099999,19.6,0.409,52,22,o,0,0.98,142.6525,21.41183,6003.13,5675.46,3.42,3.28,-70.0,-0.47,19.21,20.6,02a57761o0578o
19,57769.516499,19.385,0.473,64,30,o,0,1.01,142.6525,21.41183,6132.35,3056.8,3.76,3.63,-13.1,-0.405,18.69,19.73,02a57769o0505o
20,57769.530575,18.673,0.29,123,36,o,0,0.89,142.6525,21.41183,6112.35,3017.76,3.81,3.64,-14.7,-0.39899999999999997,18.66,19.71,02a57769o0529o
21,57769.544801,19.975,0.915,37,34,o,0,1.02,142.6525,21.41183,6165.99,3099.56,4.21,3.74,-9.8,-0.38,18.58,19.7,02a57769o0553o
22,57769.55602,19.222,0.47,74,35,o,0,0.93,142.6525,21.41183,6202.99,2981.48,4.17,3.76,-14.4,-0.4,18.57,19.68,02a57769o0573o
23,57769.568302,19.262999999999998,0.461,72,33,o,0,1.05,142.6525,21.41183,6151.8,3038.23,4.19,3.77,-12.1,-0.381,18.57,19.69,02a57769o0592o
24,57773.581801,19.172,0.308,78,24,o,0,0.76,142.6525,21.41183,5177.95,4347.2,3.46,3.34,-28.5,-0.44799999999999995,19.21,20.62,02a57773o0005o
25,57777.479048,19.000999999999998,0.146,91,13,c,0,1.27,142.6525,21.41183,3172.69,2097.71,3.82,3.77,84.8,-0.387,19.74,21.77,02a57777o0535c
26,57777.492523,19.623,0.314,51,16,c,0,0.69,142.6525,21.41183,3135.66,2058.04,3.8,3.77,-75.9,-0.386,19.74,21.75,02a57777o0559c
27,57777.50728400001,18.953,0.177,95,17,c,0,0.77,142.6525,21.41183,3208.56,2134.97,3.88,3.82,-29.1,-0.38299999999999995,19.71,21.73,02a57777o0584c
28,57777.529835,19.271,0.223,71,16,c,0,0.93,142.6525,21.41183,3225.3,2020.04,3.94,3.87,-19.7,-0.381,19.69,21.72,02a57777o0623c
29,57777.54065,18.749000000000002,0.149,115,17,c,0,0.85,142.6525,21.41183,3192.71,2082.44,3.87,3.8,-62.2,-0.382,19.71,21.72,02a57777o0644c
30,57781.477584,19.291,0.235,70,16,c,0,0.67,142.6525,21.41183,3516.61,2368.1,3.82,3.67,82.1,-0.385,19.78,21.76,02a57781o0466c
31,57781.486375,19.259,0.20199999999999999,72,14,c,0,0.97,142.6525,21.41183,3498.25,2331.37,3.86,3.69,80.5,-0.38299999999999995,19.77,21.75,02a57781o0482c
32,57781.508504,19.246,0.22899999999999998,73,17,c,0,0.8,142.6525,21.41183,3555.49,2409.35,3.85,3.69,81.8,-0.379,19.77,21.74,02a57781o0520c
33,57781.518702,19.387999999999998,0.25,64,16,c,0,0.73,142.6525,21.41183,3575.28,2294.49,3.83,3.66,80.4,-0.386,19.77,21.73,02a57781o0539c
