,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,60050.58761,-20.505,0.985,-23,22,o,0,0.88,259.69171,58.13401999999999,6451.11,4330.46,2.45,1.94,35.3,-0.43200000000000005,19.01,20.09,02a60050o0734o
1,60050.597442,21.118000000000002,0.9229999999999999,13,12,o,0,1.42,259.69171,58.13401999999999,6461.4,4382.19,2.42,1.91,35.5,-0.433,19.4,20.52,02a60050o0753o
2,60050.61251900001,21.044,1.146,14,16,o,0,1.29,259.69171,58.13401999999999,4212.09,6276.83,2.78,1.93,31.6,-0.424,19.37,20.49,02a60050o0783o
3,60050.634416999994,-20.029,0.6609999999999999,-35,23,o,0,1.01,259.69171,58.13401999999999,4229.75,6154.64,2.6,1.86,31.6,-0.42100000000000004,18.87,19.37,02a60050o0827o
4,60052.496659000004,-23.805999999999997,13.333,-1,14,c,0,1.17,259.69171,58.13401999999999,6172.45,8492.41,2.7,2.47,44.4,-0.4,19.33,21.05,02a60052o0565c
5,60052.498973,-20.441,0.59,-24,14,c,0,1.22,259.69171,58.13401999999999,6192.99,8531.6,2.69,2.47,46.0,-0.395,19.41,21.09,02a60052o0570c
6,60052.502593,22.318,3.36,4,14,c,0,0.89,259.69171,58.13401999999999,6132.66,8454.7,2.64,2.43,44.7,-0.402,19.4,21.11,02a60052o0578c
7,60052.529114,21.364,1.2930000000000001,10,13,c,0,1.45,259.69171,58.13401999999999,6114.79,8574.1,2.75,2.44,41.9,-0.395,19.35,20.98,02a60052o0631c
8,60056.508240999996,21.075,1.1,14,15,c,0,0.85,259.69171,58.13401999999999,10256.64,8131.14,2.77,2.68,32.4,-0.39399999999999996,19.45,21.04,02a60056o0598c
9,60056.51005800001,-21.51,1.426,-9,13,c,0,1.04,259.69171,58.13401999999999,10277.46,8169.31,2.79,2.64,30.4,-0.39399999999999996,19.39,21.02,02a60056o0602c
10,60056.524927,-21.195,1.186,-12,14,c,0,0.96,259.69171,58.13401999999999,10214.19,8098.14,2.88,2.76,33.0,-0.38799999999999996,19.38,21.14,02a60056o0634c
11,60056.537474000004,20.975,0.873,15,13,c,0,1.43,259.69171,58.13401999999999,10193.72,8218.87,2.89,2.76,31.7,-0.39,19.34,21.15,02a60056o0659c
12,60056.538378,22.695,4.1,3,12,c,0,0.9,259.69171,58.13401999999999,260.53,8154.49,2.41,2.36,-49.0,-0.41600000000000004,19.39,21.13,02a60056o0661c
13,60056.540187,22.729,4.789,3,14,c,0,0.75,259.69171,58.13401999999999,281.05,8196.03,2.43,2.38,-33.9,-0.415,19.4,21.13,02a60056o0665c
14,60056.543122,24.224,15.0,1,11,c,0,1.02,259.69171,58.13401999999999,219.6,8116.54,2.38,2.33,-34.8,-0.423,19.42,21.15,02a60056o0671c
15,60056.549649,-22.980999999999998,4.8,-2,11,c,0,1.37,259.69171,58.13401999999999,197.41,8230.25,2.46,2.4,-41.1,-0.402,19.41,21.13,02a60056o0685c
16,60058.349905999996,21.248,1.54,12,18,c,0,0.61,259.69171,58.13401999999999,412.93,1947.8,2.58,2.2,-57.1,-0.425,19.11,20.52,02a60058o0261c
17,60058.35317,-20.909000000000002,1.011,-16,16,c,0,1.02,259.69171,58.13401999999999,435.13,1991.64,2.58,2.2,-58.4,-0.424,19.13,20.48,02a60058o0268c
18,60058.358679,-22.83,5.625,-3,15,c,0,1.21,259.69171,58.13401999999999,380.48,1907.96,2.54,2.15,-60.6,-0.441,19.12,20.54,02a60058o0280c
19,60058.394152999994,-21.732,1.7109999999999999,-7,13,c,0,1.1,259.69171,58.13401999999999,379.78,2016.31,2.49,2.26,-61.8,-0.433,19.23,20.66,02a60058o0355c
20,60058.49350599999,-21.598000000000003,1.508,-8,13,c,0,1.05,259.69171,58.13401999999999,9722.96,1941.57,2.46,2.16,-59.8,-0.426,19.45,21.03,02a60058o0562c
21,60058.496681,-21.176,0.9540000000000001,-12,12,c,0,1.12,259.69171,58.13401999999999,9742.41,1978.55,2.45,2.17,-58.6,-0.424,19.43,21.04,02a60058o0569c
22,60058.499423,-21.335,1.2429999999999999,-11,13,c,0,1.06,259.69171,58.13401999999999,9686.89,1906.04,2.46,2.21,-60.9,-0.425,19.39,21.04,02a60058o0575c
23,60058.505336,23.721999999999998,11.875,1,14,c,0,0.56,259.69171,58.13401999999999,9669.62,2024.71,2.53,2.21,-60.6,-0.42100000000000004,19.43,21.03,02a60058o0588c
24,60060.494167,23.265,8.0,2,14,c,0,0.73,259.69171,58.13401999999999,4215.68,1898.31,2.46,2.33,73.0,-0.405,19.33,20.92,02a60060o0539c
25,60060.497494,-21.366,1.22,-10,13,c,0,1.1,259.69171,58.13401999999999,4236.7,1937.8,2.51,2.37,72.2,-0.405,19.34,20.98,02a60060o0546c
26,60060.502788,-22.379,2.958,-4,12,c,0,1.55,259.69171,58.13401999999999,4182.32,1860.1,2.45,2.33,75.1,-0.405,19.3,20.98,02a60060o0557c
27,60060.523561,20.594,0.568,21,12,c,0,1.32,259.69171,58.13401999999999,4165.24,1978.3,2.46,2.32,58.9,-0.41,19.41,21.13,02a60060o0599c
