,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,60049.593422000005,19.76,0.326,45,15,o,0,6.87,275.08024,24.66242,4436.55,3796.82,2.65,2.0,38.7,-0.461,19.4,20.76,02a60049o0689o
1,60049.59523200001,19.564,0.268,54,14,o,0,19.63,275.08024,24.66242,4455.97,3835.99,2.6,1.97,37.6,-0.45899999999999996,19.43,20.77,02a60049o0693o
2,60049.611648000006,18.135,0.062,202,13,o,0,30.2,275.08024,24.66242,4400.47,3760.95,2.61,2.01,37.3,-0.457,19.45,20.77,02a60049o0706o
3,60049.620742,18.046,0.064,220,14,o,0,26.21,275.08024,24.66242,4384.01,3876.28,2.61,2.01,36.6,-0.45,19.43,20.77,02a60049o0725o
4,60049.631738,-24.849,45.333,0,19,o,0,12.96,275.08024,24.66242,4422.17,3819.54,2.59,2.0,34.5,-0.44799999999999995,19.25,20.35,02a60049o0746o
5,60050.335475,-19.874000000000002,0.402,-41,16,o,0,12.17,275.08024,24.66242,3867.11,2509.78,2.31,2.22,24.2,-0.461,18.99,20.31,04a60050o0795o
6,60050.338683,-20.077,0.467,-34,16,o,0,3.74,275.08024,24.66242,3847.03,2470.76,2.15,2.04,46.7,-0.446,19.05,20.34,04a60050o0802o
7,60050.341867999996,20.553,0.965,22,21,o,0,2.39,275.08024,24.66242,3906.98,2548.38,2.18,2.13,16.9,-0.484,19.1,20.34,04a60050o0809o
8,60050.347324,-21.338,1.74,-11,18,o,0,1.77,275.08024,24.66242,3926.54,2431.78,2.13,2.03,40.4,-0.447,19.09,20.34,04a60050o0821o
9,60051.56030700001,20.604,0.5329999999999999,21,11,c,0,4.95,275.08024,24.66242,6498.61,8150.91,2.7,2.41,35.9,-0.40299999999999997,19.44,21.14,02a60051o0645c
10,60051.56400399999,20.725,0.657,19,12,c,0,9.37,275.08024,24.66242,6520.32,8188.67,2.72,2.4,36.3,-0.40299999999999997,19.38,21.1,02a60051o0652c
11,60051.567172,20.71,0.794,19,15,c,0,4.13,275.08024,24.66242,6461.45,8112.05,2.7,2.39,36.1,-0.405,19.36,21.04,02a60051o0659c
12,60051.573929,20.654,0.736,20,15,c,0,1.94,275.08024,24.66242,6441.45,8230.21,2.69,2.4,35.7,-0.41,19.38,21.06,02a60051o0672c
13,60056.285501,-20.44,0.743,-24,18,c,0,2.92,275.08024,24.66242,7976.48,8687.79,2.84,2.37,-61.0,-0.365,19.06,20.66,04a60056o0708c
14,60056.287305,-19.808,0.381,-43,16,c,0,5.34,275.08024,24.66242,7957.23,8648.99,2.78,2.33,-62.4,-0.379,19.1,20.67,04a60056o0712c
15,60056.29362999999,-20.644000000000002,0.7559999999999999,-20,15,c,0,4.34,275.08024,24.66242,8009.41,8727.13,2.89,2.52,-60.5,-0.354,19.06,20.69,04a60056o0725c
16,60056.298729999995,-20.201,0.544,-30,16,c,0,7.4,275.08024,24.66242,8027.68,8610.97,2.83,2.39,-61.7,-0.395,19.11,20.72,04a60056o0736c
17,60057.540128,25.255,41.5,0,12,c,0,2.27,275.08024,24.66242,2402.62,1935.78,2.43,2.29,49.7,-0.42100000000000004,19.45,21.21,02a60057o0657c
18,60057.54543099999,19.975,0.299,37,11,c,0,5.15,275.08024,24.66242,2421.67,1975.95,2.41,2.27,55.7,-0.42100000000000004,19.48,21.23,02a60057o0665c
19,60057.547239,21.043000000000003,0.6459999999999999,14,9,c,0,8.02,275.08024,24.66242,2367.05,1896.29,2.4,2.27,58.7,-0.42200000000000004,19.53,21.23,02a60057o0669c
20,60057.553166,-20.651,0.525,-20,10,c,0,3.91,275.08024,24.66242,2350.15,2014.34,2.42,2.28,53.4,-0.418,19.52,21.27,02a60057o0682c
