,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,60055.418977999994,-21.523000000000003,1.5630000000000002,-9,14,c,0,1.07,221.66149,19.28054,9584.34,8683.38,2.62,2.48,16.1,-0.392,19.43,21.03,02a60055o0417c
1,60055.420784,21.456,1.421,10,14,c,0,1.09,221.66149,19.28054,9605.51,8721.91,2.57,2.51,24.0,-0.39299999999999996,19.54,21.16,02a60055o0421c
2,60055.424036000004,-20.642,0.48700000000000004,-20,10,c,0,1.63,221.66149,19.28054,9545.33,8642.8,2.71,2.56,30.5,-0.38299999999999995,19.53,21.2,02a60055o0428c
3,60055.429562,-21.919,2.0,-6,12,c,0,1.15,221.66149,19.28054,9527.1,8761.56,2.6,2.55,16.8,-0.392,19.52,21.22,02a60055o0440c
4,60056.166822,23.565,9.857000000000001,1,13,c,0,1.67,221.66149,19.28054,632.21,8482.92,2.93,2.25,-79.3,-0.341,19.3,21.06,04a60056o0456c
5,60056.19706599999,20.95,1.013,15,15,c,0,1.31,221.66149,19.28054,618.33,8440.11,3.06,2.31,-79.9,-0.324,19.25,21.09,04a60056o0519c
6,60056.198867,-21.129,1.075,-13,14,c,0,1.32,221.66149,19.28054,676.73,8518.07,2.97,2.23,-81.9,-0.33399999999999996,19.26,21.09,04a60056o0523c
7,60056.202051,-20.195999999999998,0.493,-30,15,c,0,0.97,221.66149,19.28054,699.42,8400.27,3.02,2.34,-86.4,-0.344,19.27,21.08,04a60056o0530c
8,60057.396185000005,-21.951,1.814,-6,11,c,0,0.9,221.66149,19.28054,9743.41,2159.16,2.46,2.21,-58.9,-0.418,19.61,21.4,02a60057o0364c
9,60057.42434500001,21.04,0.83,14,12,c,0,0.93,221.66149,19.28054,9768.82,2201.31,2.48,2.2,-56.2,-0.42100000000000004,19.6,21.4,02a60057o0420c
