Name,RA(deg),DEC(deg),MJD,SN_Redshift
2017cts,255.798833,61.457261,57845.45999999996,0.02
2017ctt,232.508188059,14.9562627474,57850.57599540008,0.09
2017cud,145.071375,-3.29185,57843.89299769979,0.068
2017cue,332.860875,-18.364639,57846.02699070005,0.045
2017cug,119.457833,-21.685839,57847.314999999944,0.024
2017cuh,83.717705,-20.046705,57839.24899310013,0.053
2017cxo,168.203083,31.920889,57849.425995400175,0.037
2017cxy,275.82469,-43.14187,57851.299999999814,0.02
2017cyy,144.150833,-63.948389,57854.18199069984,0.0098
2017dae,137.144833,48.6073,57858.314999999944,0.052
2017dah,304.265917,-8.062789,57857.266990699805,0.08
2017dby,301.187083,-9.935731,57858.016990699805,0.045
2017dcf,246.602708,21.316511,57859.5959954001,0.06
2017dcg,79.021,-16.125331,57858.68000000017,0.072
2017ddf,283.365929996,28.9516959131,57858.555995400064,0.075
2017ddy,193.816180873,-17.4820368699,57858.40799769992,0.056
2017ddz,187.549068682,-20.7307166281,57858.40199070005,0.083
2017def,230.620417,27.707189,57860.21899309987,0.071
2017dei,312.453542,-25.700711,57872.226666700095,0.019804
2017deu,199.089991562,27.6931499937,57859.4839931,0.05
2017dez,246.879043768,49.6957340811,57880.47199069988,0.043
2017dff,309.738333,-26.831711,57860.52899309993,0.078
2017dfn,298.068125,-26.174089,57861.77499999991,0.048
2017dfo,140.158382479,-29.9507910249,57862.1082175998,0.036
2017dfq,165.803792,11.077811,57863.252997700125,0.021358
2017dft,164.383593333,-14.8350166667,57859.41299769981,0.025
2017dfu,124.788355,-16.4956975,57859.29000000004,0.045
2017dfv,75.1505,-62.070311,57862.99000000022,0.028
2017dgi,153.065553249,-5.90266079036,57882.25399310002,0.054
2017dgt,21.986208,-50.687331,57865.568993099965,0.064
2017dgu,321.009083,-53.565331,57865.54599539982,0.062
2017dgw,286.715958,-36.958761,57865.52799770003,0.018
2017dhd,170.831301219,5.79990547403,57865.270995399915,0.067
2017dhh,179.482394234,-3.46022765679,57866.31099539995,0.137
2017dhl,183.015289194,6.65396987582,57859.301990699954,0.137
2017dhm,166.707734778,14.4877805586,57863.25899309991,0.052
2017dhp,178.559896765,11.7612762977,57863.26599540003,0.052
2017dhr,86.696958,-16.783417,57863.97999999998,0.007
2017dhw,285.942375,-42.7701,57866.781990699936,0.049
2017dia,199.37021,3.04837666667,57868.50499999989,0.111
2017dib,192.256330188,5.82713036325,57859.310000000056,0.059
2017dij,201.845880326,-2.80554483013,57864.5139930998,0.096
2017dik,149.474993,-10.642087,57863.3589931,0.05
2017dil,145.926024,22.795504,57869.39500000002,0.064
2017dip,208.200720647,12.0396914934,57890.411990699824,0.079
2017dir,210.540763333,22.8723366667,57869.592997699976,0.065
2017dit,231.9955,42.846861,57908.375995399896,0.01859
2017diw,24.062833,-65.174931,57846.81999999983,0.07
2017diy,129.7296375,52.82173,57870.318993099965,0.044
2017djl,193.084917,-15.960331,57871.44699069997,0.044
2017djm,181.709653333,-24.4684,57863.43399310019,0.05
2017djn,194.358125,-17.863489,57863.47500000009,0.05
2017djt,132.8389325,22.9443425,57865.35699070012,0.088
2017dju,196.4327625,-37.6766825,57871.42299770005,0.051
2017djz,176.96586,-33.8265766667,57863.44499999983,0.072
2017dmc,153.80623559,0.956269803566,57867.294999999925,0.072
2017doq,205.49000499,-4.37028833146,57869.37099540001,0.074
2017dps,204.16675,-33.967019,57874.27000000002,0.012
2017drh,263.108583,7.063161,57894.50458330009,0.005554
2017dry,338.18554,-59.47168,57876.37000000011,0.040415
2017dwp,187.932083,36.209769,57877.27000000002,0.0333
2017dws,235.059042,11.344861,57876.499328699894,0.082
2017eax,224.21825,9.271239,57887.37999999989,0.028
2017eaz,206.931667,3.411389,57887.299999999814,0.024
2017ebp,167.438636667,46.4096033333,57882.37699070014,0.074
2017eck,270.130317143,2.43181857143,57884.456990700215,0.025
2017ehf,215.442292,-1.387619,57890.30799769983,0.055
2017ehp,236.11863099,-7.4714834816,57890.357997700106,0.08
2017eio,343.904625,19.173331,57897.580000000075,0.036
2017eir,357.956542,-4.762539,57898.24599540001,0.087
2017ejw,18.142417,0.291461,57779.20999999996,0.019
2017ejy,241.735125,15.679219,57899.47799770022,0.038
2017ekl,303.675235,-8.7469125,57904.56599539984,0.083
2017ele,311.587748639,-27.5244640269,57897.581990700215,0.059
2017elf,14.278083,8.97255,58015.536990699824,0.031
2017emq,150.077374986,54.5397422446,57907.27299770014,0.005247
2017epb,214.615458,12.884489,57913.39000000013,0.025
2017erp,227.311667,-11.334181,57917.626018499956,0.006174
2017esb,197.40009,-18.9721,57917.02000000002,0.035
2017ets,243.442292,22.916481,57972.29000000004,0.032
2017euz,295.30121375,-23.50032375,57911.458993100096,0.05
2017evj,217.430833,7.254339,57922.641990699805,0.052
2017evn,176.847,23.36495,57924.25999999978,0.017
2017evr,356.280292,9.060461,57922.982997700106,0.041
2017eww,212.887788333,2.47561333333,57924.353993100114,0.053
2017exh,344.61375,-0.266811,57926.23199070012,0.054
2017exo,277.924125,16.6514,57928.43000000017,0.01
