Name,RA(deg),DEC(deg),MJD,SN_Redshift
2016sl,156.030072976,13.6159232853,57405.660451400094,0.023
2016ut,174.150719827,-3.0773045964,57405.5124884001,0.099
2016vv,202.335720272,12.2268198821,57407.59038189985,0.11
2016W,37.665375,42.235806,57407.47245369991,0.0192
2016wd,17.746667,20.856194,57420.169999999925,0.064
2016ww,204.401314368,-29.355764732,57411.64290509978,0.091
2016yr,84.989583,-40.516194,57416.27000000002,0.037
2016ys,108.059583,7.239611,57416.24034720007,0.028
2016Z,67.128467,-17.656492,57404.20999999996,0.031078
2016za,172.640542,-42.558733,57416.37999999989,0.034067
2016zd,181.357608,-21.400333,57420.279999999795,0.032
2016ze,165.525458,36.903056,57420.47074070014,0.09
2017A,239.368125,30.060861,57755.09055559989,0.0328
2017aaa,207.45475,-3.080081,57783.59099540021,0.047
2017aac,122.628882849,5.26032079365,57782.445995400194,0.03
2017aap,174.076292,38.119222,57785.815497700125,0.11
2017aas,170.12366252,34.7540850262,57805.41699070018,0.042
2017acb,237.656792,-58.733511,57780.77799770003,0.02
2017acd,173.704583,-38.14375,57750.375,0.032042
2017acq,75.0772241195,71.2027534072,54832.0,0.05
2017ad,218.60903,-38.46986,57757.35999999987,0.033
2017adi,135.412395246,20.7493336829,57781.37699070014,0.03128
2017adj,205.846917,-19.943681,57831.47599539999,0.03
2017ae,31.460958,18.37515,57757.28799769981,0.022
2017ag,146.135792,-8.17985,57756.5959954001,0.096
2017ah,167.508208,63.643369,57757.55319439992,None
2017ai,244.261042,10.693419,57757.65662040003,None
2017ar,179.892911121,4.1780186624,57755.5829977002,0.083
2017atv,50.99775,37.758511,57799.74299769988,None
