,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
0,130529,SN2023kbu,221.66149166666668,19.280541666666664,SN Ia,0.0436,,,"ATLAS, ZTF","ATLAS, ZTF",ZTF,ATLAS; ZTF,ATLAS23lsz,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.241,orange-ATLAS,60103.0,ATLAS_Bot1,,2023TNSTR1343....1T,,
1,130463,SN2023jzg,275.08024166666667,24.662419444444442,SN Ia,0.05,,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF23aamwiqd,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,19.27,g-ZTF,60099.0,ZTF_Bot1,,2023TNSTR1333....1F,2023TNSCR1341....1H,
2,130409,SN2023jxe,259.6917125,58.13401944444444,SN Ia,0.029,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF23aamzcfe,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.7288,r-ZTF,60100.0,ZTF_CLU_PUBLIC,,2023TNSTR1324....1D,,
3,130400,SN2023jww,269.8431375,17.260091666666668,SN Ia,0.041,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF23aamtyjs,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.22,g-ZTF,60098.0,ZTF_Bot1,,2023TNSTR1323....1F,2023TNSCR1325....1F,
4,130390,SN2023jwr,229.27748333333332,11.364072222222221,SN Ia,0.0464,LEDA 1392477,0.04636,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ALeRCE; ATLAS; Pan-STARRS,ZTF23aamvyyl,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.7004,r-ZTF,60099.0,ALeRCE,,2023TNSTR1312....1F,2023TNSCR1334....1K,
5,130382,SN2023jwk,175.417375,-2.2462944444444446,SN Ia,0.054,,,ZTF,ZTF,ePESSTO+,ZTF,ZTF23aamquyf,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,18.35,r-ZTF,60097.0,ZTF_Bot1,,2023TNSTR1318....1F,2023TNSCR1334....1K,
6,130381,SN2023jwj,170.72684583333333,1.1177805555555556,SN Ia,0.072,,,ZTF,ZTF,ePESSTO+,ZTF,ZTF23aalprtr,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,19.01,r-ZTF,60097.0,ZTF_Bot1,,2023TNSTR1318....1F,2023TNSCR1334....1K,
7,130376,SN2023jwe,331.6819208333333,40.78344166666666,SN Ia,0.073,,,ALeRCE,ZTF,ZTF,ALeRCE,ZTF23aampyvc,P48 - ZTF-Cam,P60 - SEDM,1,1,,18.6595,r-ZTF,60098.0,ALeRCE,,2023TNSTR1306....1F,2023TNSCR1319....1F,
8,130366,SN2023jvu,249.5026875,55.405094444444444,SN Ia,0.03011,,,"ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; YSE; ZTF,ZTF23aamqonh,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,18.38,g-ZTF,60098.0,ZTF_Bot1,,2023TNSTR1309....1F,2023TNSCR1348....1F,
9,130364,SN2023jvs,195.05955416666666,22.501597222222223,SN Ia,0.076,,,"ZTF, Fink, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; Fink; ZTF,ZTF23aamhlcu,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,20.18,g-ZTF,60092.0,ZTF_Bot1,,2023TNSTR1309....1F,2023TNSCR1341....1H,
